,90_0,90_15,90_30,90_45,90_60,90_75,90_90,180_0,180_15,180_30,180_45,180_60,180_75,180_90,270_0,270_15,270_30,270_45,270_60,270_75,270_90
2016-01-01 00:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 01:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 02:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 03:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 04:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 05:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 06:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 07:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 08:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-01-01 09:00:00+01:00,-0.0,-0.0,-0.0,-0.0,0.019,0.07,0.112,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.123,0.083,0.034,-0.0,-0.0,-0.0,-0.0
2016-01-01 10:00:00+01:00,0.007,0.007,0.007,0.007,0.007,0.11,0.257,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.454,0.372,0.257,0.11,0.007,0.007,0.007
2016-01-01 11:00:00+01:00,0.016,0.016,0.016,0.016,0.016,0.019,0.161,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.61,0.551,0.45,0.307,0.126,0.016,0.016
2016-01-01 12:00:00+01:00,0.019,0.019,0.019,0.019,0.019,0.019,0.026,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.662,0.64,0.575,0.467,0.315,0.124,0.019
2016-01-01 13:00:00+01:00,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.637,0.646,0.622,0.557,0.449,0.297,0.11
2016-01-01 14:00:00+01:00,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.519,0.558,0.564,0.541,0.479,0.379,0.242
2016-01-01 15:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.258,0.303,0.324,0.325,0.308,0.267,0.203
