t,value
1,16.767
2,16.767
3,16.767
4,16.767
5,16.767
6,16.767
7,16.767
8,16.767
9,16.767
10,16.767
11,16.767
12,16.767
13,16.767
14,16.767
15,16.767
16,16.767
17,16.767
18,16.767
19,16.767
20,16.767
21,16.767
22,16.767
23,16.767
24,16.767
25,16.767
26,16.767
27,16.767
28,16.767
29,16.767
30,16.767
31,16.767
32,16.767
33,16.767
34,16.767
35,16.767
36,16.767
37,16.767
38,16.767
39,16.767
40,16.767
41,16.767
42,16.767
43,16.767
44,16.767
45,16.767
46,16.767
47,16.767
48,16.767
49,16.767
50,16.767
51,16.767
52,16.767
53,16.767
54,16.767
55,16.767
56,16.767
57,16.767
58,16.767
59,16.767
60,16.767
61,16.767
62,16.767
63,16.767
64,16.767
65,16.767
66,16.767
67,16.767
68,16.767
69,16.767
70,16.767
71,16.767
72,16.767
73,16.767
74,16.767
75,16.767
76,16.767
77,16.767
78,16.767
79,16.767
80,16.767
81,16.767
82,16.767
83,16.767
84,16.767
85,16.767
86,16.767
87,16.767
88,16.767
89,16.767
90,16.767
91,16.767
92,16.767
93,16.767
94,16.767
95,16.767
96,16.767
97,16.767
98,16.767
99,16.767
100,16.767
101,16.767
102,16.767
103,16.767
104,16.767
105,16.767
106,16.767
107,16.767
108,16.767
109,16.767
110,16.767
111,16.767
112,16.767
113,16.767
114,16.767
115,16.767
116,16.767
117,16.767
118,16.767
119,16.767
120,16.767
121,16.767
122,16.767
123,16.767
124,16.767
125,16.767
126,16.767
127,16.767
128,16.767
129,16.767
130,16.767
131,16.767
132,16.767
133,16.767
134,16.767
135,16.767
136,16.767
137,16.767
138,16.767
139,16.767
140,16.767
141,16.767
142,16.767
143,16.767
144,16.767
145,16.069
146,16.069
147,16.069
148,16.069
149,16.069
150,16.069
151,16.069
152,16.069
153,16.069
154,16.069
155,16.069
156,16.069
157,16.069
158,16.069
159,16.069
160,16.069
161,16.069
162,16.069
163,16.069
164,16.069
165,16.069
166,16.069
167,16.069
168,16.069
169,16.069
170,16.069
171,16.069
172,16.069
173,16.069
174,16.069
175,16.069
176,16.069
177,16.069
178,16.069
179,16.069
180,16.069
181,16.069
182,16.069
183,16.069
184,16.069
185,16.069
186,16.069
187,16.069
188,16.069
189,16.069
190,16.069
191,16.069
192,16.069
193,16.069
194,16.069
195,16.069
196,16.069
197,16.069
198,16.069
199,16.069
200,16.069
201,16.069
202,16.069
203,16.069
204,16.069
205,16.069
206,16.069
207,16.069
208,16.069
209,16.069
210,16.069
211,16.069
212,16.069
213,16.069
214,16.069
215,16.069
216,16.069
217,16.069
218,16.069
219,16.069
220,16.069
221,16.069
222,16.069
223,16.069
224,16.069
225,16.069
226,16.069
227,16.069
228,16.069
229,16.069
230,16.069
231,16.069
232,16.069
233,16.069
234,16.069
235,16.069
236,16.069
237,16.069
238,16.069
239,16.069
240,16.069
241,16.069
242,16.069
243,16.069
244,16.069
245,16.069
246,16.069
247,16.069
248,16.069
249,16.069
250,16.069
251,16.069
252,16.069
253,16.069
254,16.069
255,16.069
256,16.069
257,16.069
258,16.069
259,16.069
260,16.069
261,16.069
262,16.069
263,16.069
264,16.069
265,16.069
266,16.069
267,16.069
268,16.069
269,16.069
270,16.069
271,16.069
272,16.069
273,16.069
274,16.069
275,16.069
276,16.069
277,16.069
278,16.069
279,16.069
280,16.069
281,16.069
282,16.069
283,16.069
284,16.069
285,16.069
286,16.069
287,16.069
288,16.069
289,16.069
290,16.069
291,16.069
292,16.069
293,16.069
294,16.069
295,16.069
296,16.069
297,16.069
298,16.069
299,16.069
300,16.069
301,16.069
302,16.069
303,16.069
304,16.069
305,16.069
306,16.069
307,16.069
308,16.069
309,16.069
310,16.069
311,16.069
312,16.069
313,15.982
314,15.982
315,15.982
316,15.982
317,15.982
318,15.982
319,15.982
320,15.982
321,15.982
322,15.982
323,15.982
324,15.982
325,15.982
326,15.982
327,15.982
328,15.982
329,15.982
330,15.982
331,15.982
332,15.982
333,15.982
334,15.982
335,15.982
336,15.982
337,15.982
338,15.982
339,15.982
340,15.982
341,15.982
342,15.982
343,15.982
344,15.982
345,15.982
346,15.982
347,15.982
348,15.982
349,15.982
350,15.982
351,15.982
352,15.982
353,15.982
354,15.982
355,15.982
356,15.982
357,15.982
358,15.982
359,15.982
360,15.982
361,15.982
362,15.982
363,15.982
364,15.982
365,15.982
366,15.982
367,15.982
368,15.982
369,15.982
370,15.982
371,15.982
372,15.982
373,15.982
374,15.982
375,15.982
376,15.982
377,15.982
378,15.982
379,15.982
380,15.982
381,15.982
382,15.982
383,15.982
384,15.982
385,15.982
386,15.982
387,15.982
388,15.982
389,15.982
390,15.982
391,15.982
392,15.982
393,15.982
394,15.982
395,15.982
396,15.982
397,15.982
398,15.982
399,15.982
400,15.982
401,15.982
402,15.982
403,15.982
404,15.982
405,15.982
406,15.982
407,15.982
408,15.982
409,15.982
410,15.982
411,15.982
412,15.982
413,15.982
414,15.982
415,15.982
416,15.982
417,15.982
418,15.982
419,15.982
420,15.982
421,15.982
422,15.982
423,15.982
424,15.982
425,15.982
426,15.982
427,15.982
428,15.982
429,15.982
430,15.982
431,15.982
432,15.982
433,15.982
434,15.982
435,15.982
436,15.982
437,15.982
438,15.982
439,15.982
440,15.982
441,15.982
442,15.982
443,15.982
444,15.982
445,15.982
446,15.982
447,15.982
448,15.982
449,15.982
450,15.982
451,15.982
452,15.982
453,15.982
454,15.982
455,15.982
456,15.982
457,15.982
458,15.982
459,15.982
460,15.982
461,15.982
462,15.982
463,15.982
464,15.982
465,15.982
466,15.982
467,15.982
468,15.982
469,15.982
470,15.982
471,15.982
472,15.982
473,15.982
474,15.982
475,15.982
476,15.982
477,15.982
478,15.982
479,15.982
480,15.982
481,15.691
482,15.691
483,15.691
484,15.691
485,15.691
486,15.691
487,15.691
488,15.691
489,15.691
490,15.691
491,15.691
492,15.691
493,15.691
494,15.691
495,15.691
496,15.691
497,15.691
498,15.691
499,15.691
500,15.691
501,15.691
502,15.691
503,15.691
504,15.691
505,15.691
506,15.691
507,15.691
508,15.691
509,15.691
510,15.691
511,15.691
512,15.691
513,15.691
514,15.691
515,15.691
516,15.691
517,15.691
518,15.691
519,15.691
520,15.691
521,15.691
522,15.691
523,15.691
524,15.691
525,15.691
526,15.691
527,15.691
528,15.691
529,15.691
530,15.691
531,15.691
532,15.691
533,15.691
534,15.691
535,15.691
536,15.691
537,15.691
538,15.691
539,15.691
540,15.691
541,15.691
542,15.691
543,15.691
544,15.691
545,15.691
546,15.691
547,15.691
548,15.691
549,15.691
550,15.691
551,15.691
552,15.691
553,15.691
554,15.691
555,15.691
556,15.691
557,15.691
558,15.691
559,15.691
560,15.691
561,15.691
562,15.691
563,15.691
564,15.691
565,15.691
566,15.691
567,15.691
568,15.691
569,15.691
570,15.691
571,15.691
572,15.691
573,15.691
574,15.691
575,15.691
576,15.691
577,15.691
578,15.691
579,15.691
580,15.691
581,15.691
582,15.691
583,15.691
584,15.691
585,15.691
586,15.691
587,15.691
588,15.691
589,15.691
590,15.691
591,15.691
592,15.691
593,15.691
594,15.691
595,15.691
596,15.691
597,15.691
598,15.691
599,15.691
600,15.691
601,15.691
602,15.691
603,15.691
604,15.691
605,15.691
606,15.691
607,15.691
608,15.691
609,15.691
610,15.691
611,15.691
612,15.691
613,15.691
614,15.691
615,15.691
616,15.691
617,15.691
618,15.691
619,15.691
620,15.691
621,15.691
622,15.691
623,15.691
624,15.691
625,15.691
626,15.691
627,15.691
628,15.691
629,15.691
630,15.691
631,15.691
632,15.691
633,15.691
634,15.691
635,15.691
636,15.691
637,15.691
638,15.691
639,15.691
640,15.691
641,15.691
642,15.691
643,15.691
644,15.691
645,15.691
646,15.691
647,15.691
648,15.691
649,15.168
650,15.168
651,15.168
652,15.168
653,15.168
654,15.168
655,15.168
656,15.168
657,15.168
658,15.168
659,15.168
660,15.168
661,15.168
662,15.168
663,15.168
664,15.168
665,15.168
666,15.168
667,15.168
668,15.168
669,15.168
670,15.168
671,15.168
672,15.168
673,15.168
674,15.168
675,15.168
676,15.168
677,15.168
678,15.168
679,15.168
680,15.168
681,15.168
682,15.168
683,15.168
684,15.168
685,15.168
686,15.168
687,15.168
688,15.168
689,15.168
690,15.168
691,15.168
692,15.168
693,15.168
694,15.168
695,15.168
696,15.168
697,15.168
698,15.168
699,15.168
700,15.168
701,15.168
702,15.168
703,15.168
704,15.168
705,15.168
706,15.168
707,15.168
708,15.168
709,15.168
710,15.168
711,15.168
712,15.168
713,15.168
714,15.168
715,15.168
716,15.168
717,15.168
718,15.168
719,15.168
720,15.168
721,15.168
722,15.168
723,15.168
724,15.168
725,15.168
726,15.168
