t,value
1,27.84
2,27.84
3,25.01
4,24.75
5,24.75
6,24.75
7,24.75
8,25.0
9,26.27
10,24.76
11,24.75
12,24.75
13,24.75
14,24.75
15,28.13
16,28.13
17,28.13
18,28.13
19,28.13
20,28.13
21,28.13
22,28.13
23,28.13
24,28.13
25,28.11
26,28.11
27,28.11
28,28.11
29,28.11
30,28.11
31,28.13
32,28.13
33,28.13
34,28.13
35,28.13
36,28.13
37,28.13
38,28.41
39,28.41
40,28.41
41,28.42
42,28.41
43,28.13
44,28.13
45,28.13
46,28.13
47,28.13
48,28.13
49,28.13
50,28.13
51,28.13
52,28.13
53,28.13
54,28.13
55,28.13
56,28.69
57,29.29
58,29.29
59,29.0
60,28.99
61,28.79
62,29.29
63,34.12
64,34.12
65,34.12
66,34.12
67,32.54
68,30.8
69,29.29
70,29.29
71,29.29
72,28.99
73,28.99
74,28.99
75,28.99
76,28.99
77,28.99
78,28.99
79,40.57
80,44.84
81,44.84
82,44.84
83,44.84
84,44.84
85,44.84
86,44.84
87,44.84
88,44.84
89,44.84
90,44.84
91,44.84
92,44.84
93,44.84
94,44.84
95,44.84
96,41.37
97,29.38
98,28.72
99,28.72
100,28.72
101,28.72
102,28.72
103,33.78
104,33.78
105,33.78
106,29.29
107,28.13
108,28.13
109,28.13
110,28.13
111,28.13
112,28.13
113,28.13
114,28.13
115,28.13
116,28.13
117,28.13
118,28.13
119,28.13
120,28.11
121,28.11
122,28.11
123,28.11
124,28.11
125,28.11
126,28.11
127,28.13
128,28.13
129,28.13
130,28.13
131,28.11
132,28.11
133,28.11
134,28.11
135,28.13
136,28.69
137,38.0
138,38.0
139,38.0
140,38.0
141,37.99
142,29.0
143,29.0
144,29.0
145,30.41
146,30.81
147,29.29
148,29.29
149,29.0
150,29.0
151,29.29
152,30.76
153,32.22
154,30.51
155,29.0
156,29.0
157,29.29
158,31.32
159,34.11
160,34.11
161,34.11
162,29.29
163,28.13
164,28.13
165,28.13
166,28.13
167,28.13
168,28.12
169,28.11
170,28.11
171,28.11
172,28.11
173,28.11
174,28.11
175,28.11
176,28.11
177,28.12
178,28.12
179,28.11
180,28.11
181,28.11
182,28.11
183,28.11
184,28.13
185,28.13
186,28.13
187,28.13
188,28.13
189,28.13
190,28.13
191,28.13
192,28.13
193,45.92
194,45.92
195,45.92
196,49.23
197,49.23
198,49.23
199,69.68
200,71.67
201,71.67
202,71.67
203,71.67
204,71.67
205,71.67
206,71.67
207,71.67
208,71.67
209,69.68
210,69.68
211,66.17
212,49.23
213,49.23
214,49.23
215,49.23
216,49.23
217,49.23
218,49.23
219,49.23
220,49.23
221,49.22
222,44.36
223,44.3
224,49.23
225,49.23
226,36.93
227,36.12
228,36.12
229,36.12
230,36.12
231,36.12
232,36.43
233,46.87
234,49.23
235,49.23
236,49.23
