t,value
1,61.88
2,61.88
3,61.88
4,61.88
5,61.88
6,61.88
7,61.88
8,61.88
9,61.88
10,61.88
11,61.88
12,61.88
13,61.88
14,61.88
15,61.88
16,61.89
17,76.18
18,83.62
19,83.62
20,83.62
21,63.16
22,61.88
23,61.88
24,61.88
25,61.88
26,61.88
27,61.88
28,61.88
29,61.88
30,61.88
31,61.88
32,62.03
33,65.09
34,66.41
35,65.07
36,65.74
37,65.76
38,66.51
39,74.21
40,84.41
41,84.42
42,84.42
43,84.41
44,84.4
45,81.71
46,64.46
47,64.4
48,63.16
49,62.48
50,62.47
51,62.47
52,62.47
53,62.48
54,62.49
55,64.43
56,85.88
57,87.65
58,87.65
59,78.89
60,78.89
61,78.89
62,86.58
63,86.61
64,96.54
65,103.97
66,103.97
67,103.97
68,103.97
69,100.87
70,90.35
71,88.61
72,86.58
73,78.26
74,76.94
75,76.94
76,76.94
77,76.94
78,76.95
79,86.61
80,102.18
81,109.84
82,109.87
83,109.84
84,107.36
85,104.44
86,107.35
87,109.87
88,112.09
89,112.1
90,112.1
91,112.1
92,112.09
93,109.88
94,109.84
95,103.2
96,89.3
97,86.61
98,71.71
99,71.71
100,71.71
101,71.71
102,71.77
103,92.36
104,96.9
105,96.9
106,88.12
107,63.8
108,62.53
109,62.52
110,64.43
111,64.42
112,62.51
113,62.51
114,65.07
115,67.76
116,69.45
117,62.5
118,61.88
119,61.88
120,61.88
121,61.88
122,61.88
123,61.88
124,61.88
125,61.88
126,61.88
127,61.88
128,61.88
129,62.51
130,61.88
131,61.88
132,61.88
133,61.88
134,61.88
135,76.33
136,94.67
137,109.84
138,115.6
139,115.6
140,115.59
141,111.17
142,95.47
143,95.46
144,95.44
145,95.39
146,89.96
147,85.31
148,83.84
149,83.84
150,83.84
151,83.84
152,94.1
153,94.1
154,94.1
155,91.29
156,84.88
157,83.19
158,83.99
159,87.28
160,93.33
161,93.33
162,90.01
163,65.77
164,63.16
165,62.51
166,62.5
167,61.88
168,61.88
169,61.88
170,61.88
171,61.88
172,61.88
173,61.88
174,61.88
175,61.88
176,61.88
177,61.88
178,61.88
179,61.88
180,61.88
181,61.88
182,61.88
183,61.88
184,61.88
185,61.88
186,61.88
187,61.88
188,62.53
189,63.16
190,63.15
191,63.16
192,62.51
193,65.1
194,65.1
195,65.1
196,65.75
197,67.12
198,78.41
199,98.49
200,130.97
201,130.97
202,130.97
203,130.97
204,130.97
205,130.97
206,130.97
207,130.97
208,130.97
209,130.97
210,130.97
211,128.92
212,108.56
213,97.19
214,95.04
215,84.61
216,79.07
217,79.07
218,79.07
219,79.07
220,79.07
221,79.07
222,79.07
223,82.41
224,97.31
225,100.74
226,97.31
227,79.07
228,79.07
229,79.07
230,79.07
231,79.07
232,87.64
233,96.21
234,110.68
235,110.66
236,110.66
237,108.45
238,106.3
239,97.33
240,89.39
241,79.07
242,76.09
243,64.43
244,64.43
245,64.43
246,64.43
247,77.35
248,97.63
249,120.49
250,126.82
251,113.08
252,108.44
253,101.85
254,108.44
255,108.6
256,123.0
257,137.68
258,139.22
259,138.05
260,138.09
261,138.09
262,138.04
263,133.63
264,128.7
265,107.66
266,95.34
267,95.24
268,95.24
269,95.24
270,95.24
271,100.18
272,122.86
273,122.19
274,120.41
275,95.23
276,93.29
277,93.29
278,93.29
279,94.22
280,96.26
281,122.99
282,128.69
283,128.69
284,128.69
285,128.69
286,124.01
287,120.38
288,102.04
289,95.23
290,95.23
291,95.23
292,95.23
293,95.23
294,95.23
295,110.64
296,134.91
297,139.9
298,141.18
299,141.18
300,141.18
301,141.18
302,141.18
303,141.18
304,141.33
305,141.35
306,141.35
307,141.35
308,141.35
309,141.35
310,141.18
311,141.18
312,141.18
313,138.72
314,134.17
315,133.63
316,132.29
317,120.28
318,120.27
319,132.29
320,133.63
321,133.63
322,132.29
323,115.23
324,104.61
325,104.61
326,104.6
327,104.6
328,104.6
329,109.84
330,134.35
331,135.6
332,134.38
333,134.22
334,131.51
335,129.66
336,118.44
337,104.63
338,104.61
339,104.61
340,104.61
341,104.61
342,104.88
343,107.06
344,132.2
345,136.73
346,141.18
347,141.18
348,141.18
349,141.18
350,141.18
351,141.18
352,141.18
353,141.18
354,142.6
355,142.61
356,142.6
357,141.94
358,141.19
359,141.18
360,141.18
361,133.63
362,132.29
363,132.29
364,124.14
365,132.09
366,133.63
367,141.18
368,142.61
369,145.89
370,145.5
371,141.18
372,141.18
373,141.18
374,141.18
375,141.18
376,141.18
377,144.04
378,162.69
379,161.69
380,159.45
381,145.54
382,141.18
383,141.18
384,139.77
385,136.88
386,129.88
387,128.36
388,127.06
389,127.06
390,127.06
391,138.95
392,141.18
393,144.06
394,147.01
395,141.18
396,141.18
397,141.18
398,140.51
399,137.44
400,141.18
401,141.18
402,150.75
403,149.25
404,146.08
405,141.18
406,141.18
407,141.18
408,139.77
409,136.94
410,130.92
411,130.92
412,130.85
413,129.66
414,130.97
415,141.18
416,141.18
417,155.28
418,155.29
419,148.42
420,141.18
421,141.18
422,141.18
423,141.94
424,143.93
425,165.01
426,1000.0
427,1000.0
428,1000.0
429,999.98
430,165.04
431,159.56
432,145.32
433,141.18
434,141.18
435,141.18
436,141.18
437,141.18
438,141.18
439,142.61
440,165.0
441,165.01
442,164.99
443,145.51
444,141.18
445,141.18
446,141.18
447,141.18
448,141.94
449,161.06
450,165.02
451,165.01
452,160.1
453,144.06
454,141.18
455,141.18
456,139.73
457,134.45
458,129.66
459,127.06
460,127.06
461,127.06
462,130.97
463,141.18
464,141.18
465,141.18
466,139.11
467,127.48
468,106.13
469,96.24
470,93.48
471,94.35
472,100.89
473,92.79
474,69.3
475,77.0
476,66.43
477,65.75
478,65.75
479,65.75
480,65.75
481,65.76
482,65.75
483,65.75
484,65.75
485,65.75
486,65.75
487,65.75
488,65.75
489,76.02
490,88.85
491,88.85
492,88.85
493,82.41
494,79.95
495,82.38
496,86.51
497,97.09
498,107.31
499,94.99
500,88.85
501,68.97
502,76.61
503,66.42
504,62.52
505,62.5
506,62.5
507,62.5
508,62.5
509,62.5
510,62.51
511,62.52
512,64.44
513,69.44
514,69.45
515,67.08
516,65.08
517,64.43
518,63.16
519,64.49
520,69.44
521,66.44
522,63.48
523,62.51
524,62.5
525,62.5
526,62.5
527,62.5
528,62.5
529,62.51
530,61.89
531,61.89
532,61.89
533,61.89
534,61.89
535,68.43
536,83.63
537,83.64
538,83.63
539,66.43
540,63.8
541,63.8
542,63.8
543,63.8
544,77.2
545,83.63
546,83.63
547,77.53
548,64.43
549,64.43
550,63.79
551,62.51
552,61.88
553,61.88
554,61.88
555,61.88
556,61.88
557,61.88
558,61.88
559,66.33
560,83.62
561,83.62
562,77.43
563,61.88
564,61.88
565,61.88
566,61.88
567,61.88
568,61.88
569,62.51
570,62.5
571,62.51
572,61.88
573,61.88
574,61.88
575,61.88
576,61.88
577,61.88
578,61.88
579,61.88
580,61.88
581,61.88
582,61.88
583,61.88
584,61.88
585,61.88
586,61.88
587,61.88
588,61.88
589,61.88
590,61.88
591,61.88
592,61.88
593,61.88
594,62.51
595,62.51
596,62.5
597,61.88
598,61.88
599,61.88
600,61.88
601,61.88
602,61.88
603,61.88
604,61.88
605,61.88
606,61.88
607,61.88
608,61.88
609,61.88
610,61.88
611,61.88
612,61.88
613,61.88
614,61.88
615,61.88
616,61.88
617,62.53
618,79.7
619,64.45
620,68.74
621,63.13
622,61.89
623,61.88
624,61.88
625,61.88
626,61.88
627,61.88
628,61.88
629,61.88
630,61.88
631,61.88
632,61.88
633,61.88
634,61.88
635,61.88
636,61.27
637,61.27
638,61.27
639,61.88
640,61.88
641,61.88
642,61.88
643,61.88
644,61.88
645,61.88
646,61.88
647,61.88
648,61.88
649,61.26
650,61.26
651,61.26
652,61.26
653,61.26
654,61.26
655,61.26
656,61.27
657,61.27
658,61.26
659,61.26
660,61.26
661,61.26
662,61.26
663,61.86
664,61.88
665,61.88
666,61.88
667,61.88
668,61.88
669,61.88
670,61.88
671,61.88
672,61.88
673,61.88
674,61.88
675,61.27
676,61.26
677,61.26
678,61.26
679,61.26
680,61.27
681,61.88
682,61.87
683,61.27
684,61.27
685,61.27
686,61.29
687,61.88
688,61.88
689,61.88
690,61.88
691,62.5
692,62.5
693,62.51
694,62.51
695,62.51
696,62.51
697,62.51
698,62.51
699,62.51
700,62.5
701,62.51
702,63.79
703,83.59
704,84.35
705,64.44
706,63.81
707,62.51
708,61.88
709,61.88
710,61.88
711,61.88
712,61.88
713,61.88
714,61.88
715,61.88
