t,value
1,28.795
2,28.795
3,28.795
4,28.795
5,28.795
6,28.795
7,28.795
8,28.795
9,28.795
10,28.795
11,28.795
12,28.795
13,28.795
14,28.795
15,28.795
16,28.795
17,28.795
18,28.795
19,28.795
20,28.795
21,28.795
22,28.795
23,28.795
24,28.795
25,28.795
26,28.795
27,28.795
28,28.795
29,28.795
30,28.795
31,28.795
32,28.795
33,28.795
34,28.795
35,28.795
36,28.795
37,28.795
38,28.795
39,28.795
40,28.795
41,28.795
42,28.795
43,28.795
44,28.795
45,28.795
46,28.795
47,28.795
48,28.795
49,28.795
50,28.795
51,28.795
52,28.795
53,28.795
54,28.795
55,28.795
56,28.795
57,28.795
58,28.795
59,28.795
60,28.795
61,28.795
62,28.795
63,28.795
64,28.795
65,28.795
66,28.795
67,28.795
68,28.795
69,28.795
70,28.795
71,28.795
72,28.795
73,28.795
74,28.795
75,28.795
76,28.795
77,28.795
78,28.795
79,28.795
80,28.795
81,28.795
82,28.795
83,28.795
84,28.795
85,28.795
86,28.795
87,28.795
88,28.795
89,28.795
90,28.795
91,28.795
92,28.795
93,28.795
94,28.795
95,28.795
96,28.795
97,28.795
98,28.795
99,28.795
100,28.795
101,28.795
102,28.795
103,28.795
104,28.795
105,28.795
106,28.795
107,28.795
108,28.795
109,28.795
110,28.795
111,28.795
112,28.795
113,28.795
114,28.795
115,28.795
116,28.795
117,28.795
118,28.795
119,28.795
120,28.795
121,28.795
122,28.795
123,28.795
124,28.795
125,28.795
126,28.795
127,28.795
128,28.795
129,28.795
130,28.795
131,28.795
132,28.795
133,28.795
134,28.795
135,28.795
136,28.795
137,28.795
138,28.795
139,28.795
140,28.795
141,28.795
142,28.795
143,28.795
144,28.795
145,27.597
146,27.597
147,27.597
148,27.597
149,27.597
150,27.597
151,27.597
152,27.597
153,27.597
154,27.597
155,27.597
156,27.597
157,27.597
158,27.597
159,27.597
160,27.597
161,27.597
162,27.597
163,27.597
164,27.597
165,27.597
166,27.597
167,27.597
168,27.597
169,27.597
170,27.597
171,27.597
172,27.597
173,27.597
174,27.597
175,27.597
176,27.597
177,27.597
178,27.597
179,27.597
180,27.597
181,27.597
182,27.597
183,27.597
184,27.597
185,27.597
186,27.597
187,27.597
188,27.597
189,27.597
190,27.597
191,27.597
192,27.597
193,27.597
194,27.597
195,27.597
196,27.597
197,27.597
198,27.597
199,27.597
200,27.597
201,27.597
202,27.597
203,27.597
204,27.597
205,27.597
206,27.597
207,27.597
208,27.597
209,27.597
210,27.597
211,27.597
212,27.597
213,27.597
214,27.597
215,27.597
216,27.597
217,27.597
218,27.597
219,27.597
220,27.597
221,27.597
222,27.597
223,27.597
224,27.597
225,27.597
226,27.597
227,27.597
228,27.597
229,27.597
230,27.597
231,27.597
232,27.597
233,27.597
234,27.597
235,27.597
236,27.597
237,27.597
238,27.597
239,27.597
240,27.597
241,27.597
242,27.597
243,27.597
244,27.597
245,27.597
246,27.597
247,27.597
248,27.597
249,27.597
250,27.597
251,27.597
252,27.597
253,27.597
254,27.597
255,27.597
256,27.597
257,27.597
258,27.597
259,27.597
260,27.597
261,27.597
262,27.597
263,27.597
264,27.597
265,27.597
266,27.597
267,27.597
268,27.597
269,27.597
270,27.597
271,27.597
272,27.597
273,27.597
274,27.597
275,27.597
276,27.597
277,27.597
278,27.597
279,27.597
280,27.597
281,27.597
282,27.597
283,27.597
284,27.597
285,27.597
286,27.597
287,27.597
288,27.597
289,27.597
290,27.597
291,27.597
292,27.597
293,27.597
294,27.597
295,27.597
296,27.597
297,27.597
298,27.597
299,27.597
300,27.597
301,27.597
302,27.597
303,27.597
304,27.597
305,27.597
306,27.597
307,27.597
308,27.597
309,27.597
310,27.597
311,27.597
312,27.597
313,27.448
314,27.448
315,27.448
316,27.448
317,27.448
318,27.448
319,27.448
320,27.448
321,27.448
322,27.448
323,27.448
324,27.448
325,27.448
326,27.448
327,27.448
328,27.448
329,27.448
330,27.448
331,27.448
332,27.448
333,27.448
334,27.448
335,27.448
336,27.448
337,27.448
338,27.448
339,27.448
340,27.448
341,27.448
342,27.448
343,27.448
344,27.448
345,27.448
346,27.448
347,27.448
348,27.448
349,27.448
350,27.448
351,27.448
352,27.448
353,27.448
354,27.448
355,27.448
356,27.448
357,27.448
358,27.448
359,27.448
360,27.448
361,27.448
362,27.448
