t,value
1,106.25
2,104.78
3,104.77
4,104.77
5,104.77
6,104.77
7,104.77
8,104.77
9,133.09
10,133.09
11,133.09
12,133.09
13,131.77
14,131.77
15,133.44
16,166.67
17,179.84
18,223.25
19,223.25
20,205.69
21,141.58
22,133.97
23,131.27
24,123.02
25,-2.12
26,-2.19
27,-2.19
28,-2.19
29,-2.19
30,0.0
31,0.0
32,71.52
33,102.97
34,102.97
35,76.19
36,76.19
37,76.19
38,76.19
39,151.0
40,159.86
41,177.27
42,182.39
43,182.39
44,182.39
45,143.58
46,134.69
47,130.7
48,119.3
49,106.25
50,106.25
51,106.25
52,106.25
53,106.25
54,114.92
55,130.7
56,161.92
57,227.65
58,248.93
59,256.34
60,236.96
61,232.25
62,232.25
63,232.25
64,241.78
65,264.87
66,276.08
67,281.6
68,274.19
69,208.52
70,204.36
71,195.76
72,186.54
73,154.3
74,154.3
75,154.3
76,154.3
77,154.3
78,154.3
79,178.71
80,206.42
81,264.87
82,264.87
83,250.41
84,196.01
85,196.01
86,196.01
87,228.05
88,239.81
89,264.87
90,274.2
91,270.67
92,264.87
93,208.52
94,204.36
95,189.44
96,170.77
97,139.14
98,135.91
99,135.91
100,135.91
101,135.91
102,135.91
103,136.42
104,179.37
105,233.3
106,227.84
107,172.64
108,172.64
109,172.64
110,172.64
111,190.75
112,233.3
113,246.03
114,259.59
115,255.07
116,233.3
117,181.9
118,164.15
119,155.55
120,135.66
121,128.12
122,113.09
123,111.71
124,111.71
125,111.71
126,111.71
127,111.71
128,111.71
129,113.63
130,128.35
131,111.71
132,111.71
133,111.71
134,111.71
135,124.71
136,136.8
137,150.95
138,169.54
139,150.96
140,150.95
141,135.34
142,122.87
143,128.45
144,122.77
145,106.25
146,104.78
147,104.77
148,104.77
149,104.77
150,104.77
151,104.77
152,104.77
153,104.77
154,104.77
155,104.77
156,104.77
157,103.73
158,103.73
159,105.05
160,131.21
161,141.58
162,175.75
163,175.75
164,161.92
165,141.58
166,133.97
167,131.27
168,123.02
169,104.77
170,97.09
171,96.27
172,96.27
173,96.27
174,104.77
175,130.74
176,164.89
177,213.01
178,227.04
179,227.04
180,222.52
181,222.52
182,231.65
183,231.65
184,231.66
185,231.66
186,241.78
187,241.76
188,236.96
189,182.37
190,170.42
191,165.27
192,157.25
193,134.94
194,134.94
195,134.27
196,133.22
197,133.22
198,134.0
199,141.29
200,179.76
201,241.78
202,241.78
203,239.35
204,212.11
205,217.59
206,228.34
207,230.66
208,241.82
209,241.82
210,251.89
211,262.22
212,246.73
213,190.37
214,178.84
215,171.77
216,165.27
217,143.49
218,140.88
219,140.88
220,140.88
221,140.88
222,140.88
223,165.27
224,182.78
225,241.82
226,241.82
227,241.82
228,241.82
229,241.82
230,241.78
231,241.78
232,241.82
233,246.73
234,264.87
235,264.87
236,262.14
237,190.37
238,181.56
239,177.97
240,167.69
241,151.05
242,140.84
243,137.32
244,134.45
245,134.45
246,135.14
247,141.77
248,190.34
249,246.68
250,241.78
251,241.78
252,241.78
253,232.19
254,213.01
255,194.71
256,194.64
257,199.69
258,241.78
259,241.78
260,241.78
261,166.05
262,151.88
263,136.91
264,130.7
265,122.77
266,118.15
267,109.83
268,109.7
269,109.83
270,118.67
271,130.7
272,167.45
273,224.37
274,199.52
275,166.03
276,166.03
277,166.03
278,166.03
279,190.77
280,217.02
281,232.19
282,257.41
283,259.59
284,257.0
285,186.41
286,177.23
287,167.69
288,163.58
289,142.54
290,135.62
291,132.8
292,131.15
293,131.15
294,131.15
295,132.83
296,141.63
297,167.69
298,177.23
299,177.23
300,177.23
301,177.23
302,159.5
303,154.94
304,167.71
305,177.23
306,180.82
307,177.23
308,167.69
309,140.77
310,133.78
311,124.27
312,111.5
313,74.23
314,74.23
315,74.19
316,74.09
317,74.23
318,49.77
319,8.84
320,8.84
321,74.08
322,74.23
323,74.23
324,74.76
325,74.23
326,74.23
327,96.78
328,123.02
329,132.58
330,165.04
331,165.04
332,165.04
333,165.04
334,165.04
