t,heat
1,96.554
2,97.699
3,95.31750000000001
4,95.744
5,94.039
6,94.843
7,94.607
8,96.8815
9,104.853
10,111.2905
11,92.264
12,81.636
13,69.94800000000001
14,70.9615
15,76.8875
16,90.12
17,97.587
18,103.3205
19,98.99650000000001
20,102.1785
21,100.584
22,117.04
23,102.8665
24,107.9585
25,107.598
26,107.668
27,102.445
28,104.261
29,87.5835
30,82.23899999999999
31,84.7195
32,72.81450000000001
33,88.202
34,93.3155
35,82.5275
36,78.842
37,72.65700000000001
38,73.2625
39,75.2925
40,79.5425
41,84.44800000000001
42,85.77499999999999
43,99.0625
44,92.3195
45,93.0215
46,85.6655
47,88.23649999999999
48,88.9615
49,86.45899999999999
50,85.647
51,85.82000000000001
52,85.521
53,87.40400000000001
54,93.652
55,99.317
56,98.47749999999999
57,102.96199999999999
58,106.52199999999999
59,91.46849999999999
60,87.4045
61,82.33000000000001
62,86.35650000000001
63,95.24000000000001
64,101.0575
65,105.5855
66,109.313
67,108.1155
68,106.051
69,102.7655
70,105.61149999999999
71,98.675
72,101.2995
73,99.3935
74,98.8345
75,97.021
76,97.4475
77,95.7425
78,95.9785
79,95.1745
80,99.721
81,105.9715
82,111.742
83,90.61149999999999
84,83.479
85,78.2135
86,78.87150000000001
87,86.007
88,93.9565
89,101.4465
90,108.9995
91,103.54
92,103.882
93,100.584
94,117.6075
95,102.8665
96,102.2795
97,100.783
98,97.446
99,96.766
100,101.98949999999999
101,99.509
102,101.547
103,108.571
104,103.4805
105,107.88850000000001
106,105.902
107,96.16550000000001
108,91.2285
109,83.951
110,86.396
111,94.2135
112,99.024
113,102.6665
114,101.67599999999999
115,112.6915
116,108.2205
117,108.354
118,101.566
119,103.5695
120,105.42999999999999
121,102.928
122,102.6835
123,103.4245
124,105.965
125,106.144
126,108.417
127,111.81049999999999
128,109.835
129,113.9445
130,111.2235
131,87.779
132,79.052
133,68.2665
134,71.61
135,83.8105
136,97.569
137,105.67099999999999
138,108.177
139,109.81949999999999
140,108.8905
141,107.30850000000001
142,111.8585
143,103.218
144,104.7065
145,104.1905
146,104.261
147,103.581
148,104.261
149,106.8915
150,112.905
151,119.9285
152,113.7025
153,117.119
154,119.3355
155,106.386
156,97.62049999999999
157,88.84750000000001
158,89.1235
159,88.4885
160,92.68299999999999
161,95.5035
162,95.429
163,106.44500000000001
164,103.1095
165,100.9715
166,97.591
167,106.977
168,114.5165
