t,heat
1,96.554
2,97.699
3,95.31750000000001
4,95.744
5,94.039
6,94.843
7,94.607
8,96.8815
9,104.853
10,111.2905
11,92.264
12,81.636
13,69.94800000000001
14,70.9615
15,76.8875
16,90.12
17,97.587
18,103.3205
19,98.99650000000001
20,102.1785
21,100.584
22,117.04
23,102.8665
24,107.9585
25,107.598
26,107.668
27,102.445
28,104.261
29,87.5835
30,82.23899999999999
31,84.7195
32,72.81450000000001
33,88.202
34,93.3155
35,82.5275
36,78.842
37,72.65700000000001
38,73.2625
39,75.2925
40,79.5425
41,84.44800000000001
42,85.77499999999999
43,99.0625
44,92.3195
45,93.0215
46,85.6655
47,88.23649999999999
48,88.9615
49,86.45899999999999
50,85.647
51,85.82000000000001
52,85.521
53,87.40400000000001
54,93.652
55,99.317
56,98.47749999999999
57,102.96199999999999
58,106.52199999999999
59,91.46849999999999
60,87.4045
61,82.33000000000001
62,86.35650000000001
63,95.24000000000001
64,101.0575
65,105.5855
66,109.313
67,108.1155
68,106.051
69,102.7655
70,105.61149999999999
71,98.675
72,101.2995
73,99.3935
74,98.8345
75,97.021
76,97.4475
77,95.7425
78,95.9785
79,95.1745
80,99.721
81,105.9715
82,111.742
83,90.61149999999999
84,83.479
85,78.2135
86,78.87150000000001
87,86.007
88,93.9565
89,101.4465
90,108.9995
91,103.54
92,103.882
93,100.584
94,117.6075
95,102.8665
96,102.2795
97,100.783
98,97.446
99,96.766
100,101.98949999999999
101,99.509
102,101.547
103,108.571
104,103.4805
105,107.88850000000001
106,105.902
107,96.16550000000001
108,91.2285
109,83.951
110,86.396
111,94.2135
112,99.024
113,102.6665
114,101.67599999999999
115,112.6915
116,108.2205
117,108.354
118,101.566
119,103.5695
120,105.42999999999999
121,102.928
122,102.6835
123,103.4245
124,105.965
125,106.144
126,108.417
127,111.81049999999999
128,109.835
129,113.9445
130,111.2235
131,87.779
132,79.052
133,68.2665
134,71.61
135,83.8105
136,97.569
137,105.67099999999999
138,108.177
139,109.81949999999999
140,108.8905
141,107.30850000000001
142,111.8585
143,103.218
144,104.7065
145,104.1905
146,104.261
147,103.581
148,104.261
149,106.8915
150,112.905
151,119.9285
152,113.7025
153,117.119
154,119.3355
155,106.386
156,97.62049999999999
157,88.84750000000001
158,89.1235
159,88.4885
160,92.68299999999999
161,95.5035
162,95.429
163,106.44500000000001
164,103.1095
165,100.9715
166,97.591
167,106.977
168,114.5165
169,113.8445
170,111.64349999999999
171,112.667
172,108.236
173,108.02749999999999
174,110.6335
175,118.7925
176,108.5915
177,105.1725
178,102.87400000000001
179,93.0265
180,91.38499999999999
181,78.3115
182,73.9225
183,76.343
184,74.78
185,74.753
186,78.3925
187,81.458
188,74.14750000000001
189,75.9845
190,68.62899999999999
191,71.768
192,82.14699999999999
193,85.0335
194,83.8205
195,82.50649999999999
196,86.70949999999999
197,83.824
198,88.77699999999999
199,88.424
200,83.8165
201,82.52199999999999
202,76.07849999999999
203,75.55
204,68.096
205,57.6845
206,59.083999999999996
207,58.6545
208,68.17949999999999
209,57.311
210,68.8815
211,72.9635
212,80.22749999999999
213,72.3865
214,72.599
215,72.1555
216,72.24249999999999
217,72.2405
218,72.621
219,69.8165
220,63.9675
221,55.994
222,52.6005
223,49.08215
224,47.61355
225,50.509
226,45.19165
227,35.67905
228,34.49165
229,28.6
230,28.90695
231,26.30815
232,36.954150000000006
233,34.6646
234,52.324000000000005
235,51.4545
236,79.3625
237,74.98700000000001
238,77.18100000000001
239,81.6985
240,82.8685
241,85.1965
242,88.045
243,88.503
244,91.7685
245,92.903
246,92.0035
247,92.903
248,96.8815
249,102.909
250,109.1355
251,88.8135
252,82.045
253,74.706
254,76.661
255,82.278
256,92.358
257,101.121
258,108.417
259,97.293
260,97.06750000000001
261,92.066
262,106.81800000000001
263,88.1015
264,93.1935
265,93.552
266,86.66
267,85.346
268,83.86999999999999
269,81.55250000000001
270,92.184
271,93.53500000000001
272,87.2235
273,88.108
274,82.431
275,83.694
276,76.46050000000001
277,67.768
278,67.05250000000001
279,69.063
280,83.6695
281,72.89649999999999
282,79.096
283,77.50649999999999
284,80.795
285,72.95400000000001
286,75.4385
287,73.2915
288,74.51450000000001
289,70.8365
290,67.352
291,64.9025
292,63.994
293,61.676500000000004
294,67.19749999999999
295,67.97999999999999
296,65.076
297,64.53099999999999
298,47.433350000000004
299,38.43485
300,33.5509
301,25.65165
302,24.5622
303,24.0567
304,41.72025
305,43.3542
306,61.4885
307,47.976499999999994
308,48.9936
309,44.56
310,44.77275
311,44.8971
312,48.959450000000004
313,45.84965
314,47.47585
315,60.359
316,68.53699999999999
317,63.94800000000001
318,75.1475
319,83.881
320,82.1125
321,76.47449999999999
322,70.1735
323,72.10199999999999
324,65.485
325,59.478500000000004
326,54.987500000000004
327,61.60949999999999
328,81.685
329,75.179
330,89.316
331,84.88900000000001
332,85.906
333,90.55850000000001
334,97.018
335,96.0065
336,96.09400000000001
337,97.37599999999999
338,99.7175
339,104.1485
340,109.9395
341,109.731
342,108.92949999999999
343,115.9535
344,106.32
345,104.83749999999999
346,98.851
347,83.03949999999999
348,78.206
349,70.349
350,71.174
351,74.0415
352,76.7535
353,76.076
354,76.67099999999999
355,84.2975
356,76.987
357,74.849
358,66.3575
359,63.2495
360,63.4065
361,62.3185
362,61.673
363,64.9025
364,61.7225
365,65.65150000000001
366,79.12299999999999
367,80.4735
368,72.4585
369,78.32050000000001
370,69.416
371,71.688
372,68.9675
373,58.72
374,59.407000000000004
375,65.7615
376,87.97649999999999
377,81.29199999999999
378,89.31099999999999
379,87.1605
380,90.449
381,83.744
382,88.5
383,86.92049999999999
384,87.0075
385,83.052
386,83.9435
387,85.25200000000001
388,86.089
389,82.861
390,87.97300000000001
391,95.342
392,96.2055
393,101.76700000000001
394,103.2095
395,86.2285
396,79.59700000000001
397,70.25999999999999
398,73.9105
399,79.89750000000001
400,87.075
401,93.44399999999999
402,99.0755
403,102.437
404,101.50800000000001
405,99.358
406,103.34
407,95.8355
408,100.1635
409,99.3935
410,100.53800000000001
411,102.132
412,102.5585
413,105.9645
414,110.7435
415,110.5075
416,112.2145
417,118.3755
418,114.8495
419,87.1725
420,73.77250000000001
421,59.083999999999996
422,62.078500000000005
423,71.2405
424,84.23949999999999
425,101.3635
426,111.25150000000001
427,105.2435
428,109.561
429,110.238
430,131.805
431,113.08850000000001
432,110.22999999999999
433,109.30149999999999
434,108.236
435,113.8025
436,111.64349999999999
437,109.163
438,114.6085
439,118.7925
440,110.863
441,111.74849999999999
442,109.3125
443,94.3835
444,88.309
445,79.4945
446,83.1235
447,87.8795
448,94.5635
449,99.6905
