t,value,temp_fwd,temp_ret
1,1.3225777158149064,80.0,55.0
2,1.3748408683440645,80.0,55.0
3,1.3690296776543576,80.0,55.0
4,1.4204523757312997,80.0,55.0
5,1.4651911424090494,80.0,55.0
6,1.794257431193237,80.0,55.0
7,2.0578563910896768,80.0,55.0
8,2.085524903864958,80.0,55.0
9,2.5295032837296487,80.0,55.0
10,2.549405857771298,80.0,55.0
11,2.50901451296318,80.0,55.0
12,2.3149697623022414,80.0,55.0
13,2.214325980473928,80.0,55.0
14,2.107718519129761,80.0,55.0
15,2.030303162242924,80.0,55.0
16,2.143154068716813,80.0,55.0
17,2.427362385273303,80.0,55.0
18,2.525871697460832,80.0,55.0
19,2.6688469599540747,80.0,55.0
20,2.6582071685366797,80.0,55.0
21,2.5507935179307775,80.0,55.0
22,2.3965509963142386,80.0,55.0
23,2.2627770892196093,80.0,55.0
24,1.8620004249954798,80.0,55.0
25,1.4085673987001932,80.0,55.0
26,1.4110686930104834,80.0,55.0
27,1.2890430186696111,80.0,55.0
28,1.3312957002956283,80.0,55.0
29,1.4521191998524636,80.0,55.0
30,1.7867858097522977,80.0,55.0
31,1.976541690134265,80.0,55.0
32,2.058193142070429,80.0,55.0
33,2.26211573143567,80.0,55.0
34,2.2760088131916887,80.0,55.0
35,2.346163725052145,80.0,55.0
36,2.35342812540392,80.0,55.0
37,2.3168322448561067,80.0,55.0
38,2.2469636262350163,80.0,55.0
39,2.2258782949288634,80.0,55.0
40,2.2455204197171375,80.0,55.0
41,2.2611530869870435,80.0,55.0
42,2.3176453442320604,80.0,55.0
43,2.3084270656065384,80.0,55.0
44,2.4727344197920864,80.0,55.0
45,2.549531731529508,80.0,55.0
46,2.2032450069980385,80.0,55.0
47,2.100091833667525,80.0,55.0
48,1.7857757129989875,80.0,55.0
49,1.3878085827297888,80.0,55.0
50,1.3088508373087646,80.0,55.0
51,1.1300471776285026,80.0,55.0
52,1.150090300798961,80.0,55.0
53,1.3036402338531188,80.0,55.0
54,1.596030652917935,80.0,55.0
55,1.7454510292793801,80.0,55.0
56,1.8220872162522679,80.0,55.0
57,1.9921298714443232,80.0,55.0
58,1.971092550291168,80.0,55.0
59,1.993608841595914,80.0,55.0
60,1.99503408447669,80.0,55.0
61,2.014224020640031,80.0,55.0
62,1.987122466620523,80.0,55.0
63,1.9811192797499637,80.0,55.0
64,2.072375918784881,80.0,55.0
65,2.0476014950674957,80.0,55.0
66,2.1058546790339743,80.0,55.0
67,2.16576276888016,80.0,55.0
68,2.2392098949790062,80.0,55.0
69,2.1384580912196824,80.0,55.0
70,1.8794177694834744,80.0,55.0
71,1.6605903164275433,80.0,55.0
72,1.2884859699409732,80.0,55.0
73,1.0244799521801353,80.0,55.0
74,1.0403491568038998,80.0,55.0
75,0.9423404290369213,80.0,55.0
76,0.949273673911968,80.0,55.0
77,1.089854063211652,80.0,55.0
78,1.4465694615537965,80.0,55.0
79,1.6317489900628321,80.0,55.0
80,1.6788209327487624,80.0,55.0
81,1.8303303760845047,80.0,55.0
82,1.7696076226783382,80.0,55.0
83,1.7183820215089254,80.0,55.0
84,2.078191369042864,80.0,55.0
85,2.0840881152361153,80.0,55.0
86,1.8506655859058931,80.0,55.0
87,2.0513940870495966,80.0,55.0
88,2.0864948115433712,80.0,55.0
89,2.0063672242062354,80.0,55.0
90,2.3909831914209345,80.0,55.0
91,2.3376412370930164,80.0,55.0
92,2.281901584550431,80.0,55.0
93,2.2228531921452017,80.0,55.0
94,2.0108284606060147,80.0,55.0
95,1.8416994136787366,80.0,55.0
96,1.7137521679978671,80.0,55.0
97,1.3672572378331718,80.0,55.0
98,1.4110686930104834,80.0,55.0
99,1.3098893270364234,80.0,55.0
100,1.3763559845880402,80.0,55.0
101,1.5187133331487743,80.0,55.0
102,1.8574690593208514,80.0,55.0
103,2.00843489826962,80.0,55.0
104,2.1267128682677874,80.0,55.0
105,2.3811188586921888,80.0,55.0
106,2.512966476886067,80.0,55.0
107,2.5401901167434078,80.0,55.0
108,2.694730959973195,80.0,55.0
109,2.7248732929542903,80.0,55.0
110,2.737321651532346,80.0,55.0
111,2.764906023347912,80.0,55.0
112,2.932565246685356,80.0,55.0
113,3.0444750470914452,80.0,55.0
114,3.1126953888848106,80.0,55.0
115,3.2657139882435975,80.0,55.0
116,3.259494043690776,80.0,55.0
117,3.2662173695373222,80.0,55.0
118,3.156572527895546,80.0,55.0
119,2.8943039963813173,80.0,55.0
120,2.4836816060641778,80.0,55.0
121,2.1142885191471783,80.0,55.0
122,2.195873121580792,80.0,55.0
123,2.1613365915654597,80.0,55.0
124,2.1928601653192157,80.0,55.0
125,2.3108575913547074,80.0,55.0
126,2.5346333975342814,80.0,55.0
127,2.8240681185551475,80.0,55.0
128,3.0105578264051625,80.0,55.0
129,3.1911326538110556,80.0,55.0
130,3.266972828894292,80.0,55.0
131,3.337309988400028,80.0,55.0
132,3.146762167898189,80.0,55.0
133,3.098987165487714,80.0,55.0
134,3.1361747927528687,80.0,55.0
135,3.185140994101184,80.0,55.0
136,3.287608954903479,80.0,55.0
137,3.569903748844632,80.0,55.0
138,4.044793373013147,80.0,55.0
139,4.087907471427858,80.0,55.0
140,4.195991593699581,80.0,55.0
141,4.0863379645155,80.0,55.0
142,3.8069241711665107,80.0,55.0
143,3.378984046073698,80.0,55.0
144,2.866254411101642,80.0,55.0
145,2.463584803640704,80.0,55.0
146,2.459646920159855,80.0,55.0
147,2.2393436112441814,80.0,55.0
148,2.362988026802893,80.0,55.0
149,2.2584249765541604,80.0,55.0
150,2.2364929006339427,80.0,55.0
151,2.5116350422442517,80.0,55.0
152,2.6209353470673253,80.0,55.0
153,2.9092043527567713,80.0,55.0
154,3.113387303501378,80.0,55.0
155,3.2215733603877967,80.0,55.0
156,3.1797821017358956,80.0,55.0
157,3.0880073710701716,80.0,55.0
158,3.030071429025923,80.0,55.0
159,2.988673868819036,80.0,55.0
160,2.9666760603246725,80.0,55.0
161,2.962121978492895,80.0,55.0
162,3.1121221619099515,80.0,55.0
163,3.2764595036549435,80.0,55.0
164,3.223126291927473,80.0,55.0
165,3.039898253691113,80.0,55.0
166,2.6719817999005366,80.0,55.0
167,2.4189795524851623,80.0,55.0
168,2.0136718429000116,80.0,55.0
169,1.5891947336063996,80.0,55.0
170,1.6138457192249178,80.0,55.0
171,1.458461842372021,80.0,55.0
172,1.5278107532335934,80.0,55.0
173,1.4651911424090494,80.0,55.0
174,1.6621784713518772,80.0,55.0
175,1.8747111135392325,80.0,55.0
176,1.9243619965102237,80.0,55.0
177,2.218310482108671,80.0,55.0
178,2.245378374098517,80.0,55.0
179,2.305217040222746,80.0,55.0
180,2.300333233796062,80.0,55.0
181,2.3608838027855326,80.0,55.0
182,2.3432023353992024,80.0,55.0
183,2.321110175375035,80.0,55.0
184,2.34988771643705,80.0,55.0
185,2.3665885042212214,80.0,55.0
186,2.4350705028688817,80.0,55.0
187,2.4074964076185204,80.0,55.0
188,2.370768812295476,80.0,55.0
189,2.252694207062529,80.0,55.0
190,2.0683033291157766,80.0,55.0
191,1.9295175784437772,80.0,55.0
192,1.5797711126081464,80.0,55.0
193,1.2197352915855126,80.0,55.0
194,1.279148587530322,80.0,55.0
195,1.1880509042911287,80.0,55.0
196,1.2546619458467885,80.0,55.0
197,1.3979808886879044,80.0,55.0
198,1.7062720084164136,80.0,55.0
199,1.87089112818836,80.0,55.0
200,1.922568210008128,80.0,55.0
201,2.1088776455501472,80.0,55.0
202,2.127930487135215,80.0,55.0
203,2.2018934359528446,80.0,55.0
204,2.191874905909275,80.0,55.0
205,2.1987117939675356,80.0,55.0
206,2.2469636262350163,80.0,55.0
207,2.2407898255594003,80.0,55.0
208,2.335134496589939,80.0,55.0
209,2.365019965410389,80.0,55.0
210,2.420702064527015,80.0,55.0
211,2.411670246015131,80.0,55.0
212,2.413006631566012,80.0,55.0
213,2.3385126908320877,80.0,55.0
214,2.1751539590262876,80.0,55.0
215,1.9684793917225787,80.0,55.0
216,1.5976228380740982,80.0,55.0
217,1.238730603428725,80.0,55.0
218,1.3088508373087646,80.0,55.0
219,1.227799864551406,80.0,55.0
220,1.3537104272177882,80.0,55.0
221,1.5299850389904603,80.0,55.0
222,1.8777043317803797,80.0,55.0
223,2.019086279396952,80.0,55.0
224,2.0354580126218584,80.0,55.0
225,2.191184537478425,80.0,55.0
226,2.2352149408095423,80.0,55.0
227,2.216125564719766,80.0,55.0
228,2.206310923169395,80.0,55.0
229,2.242597185063583,80.0,55.0
230,2.276963340345211,80.0,55.0
231,2.377563308746058,80.0,55.0
232,2.504693836949782,80.0,55.0
233,2.708897954307448,80.0,55.0
234,2.8106894501822337,80.0,55.0
235,2.8690290715644533,80.0,55.0
236,2.982876494147971,80.0,55.0
237,2.9705135691727134,80.0,55.0
238,2.7751630131253306,80.0,55.0
239,2.49431537906725,80.0,55.0
240,2.078165413422603,80.0,55.0
241,1.6855579701810508,80.0,55.0
242,1.699949684204706,80.0,55.0
243,1.5768900502071819,80.0,55.0
244,1.653370832802509,80.0,55.0
245,1.7904451267319954,80.0,55.0
246,2.060622949857808,80.0,55.0
247,2.2233921369598972,80.0,55.0
248,2.300075025912626,80.0,55.0
249,2.4529914174427665,80.0,55.0
250,2.4704348884452565,80.0,55.0
251,2.6013631238143904,80.0,55.0
252,2.4901195352995344,80.0,55.0
253,2.5477329839770007,80.0,55.0
254,2.573217154068517,80.0,55.0
255,2.503022851818741,80.0,55.0
256,2.3807019916280088,80.0,55.0
