t,value,temp_fwd,temp_ret
1,1.7971221568199278,80.0,55.0
2,1.8681374690184542,80.0,55.0
3,1.8602412074822896,80.0,55.0
4,1.9301145079110615,80.0,55.0
5,1.9909056643807155,80.0,55.0
6,2.438041822479519,80.0,55.0
7,2.796220798036125,80.0,55.0
8,2.8338168475991377,80.0,55.0
9,3.4370958640705704,80.0,55.0
10,3.46413953519878,80.0,55.0
11,3.409255667256322,80.0,55.0
12,3.1455871382485534,80.0,55.0
13,3.008832096857,80.0,55.0
14,2.863973591702254,80.0,55.0
15,2.7587813965852095,80.0,55.0
16,2.9121235117715973,80.0,55.0
17,3.2983065365789206,80.0,55.0
18,3.43216125488273,80.0,55.0
19,3.6264364260362334,80.0,55.0
20,3.611979048846598,80.0,55.0
21,3.466025091555066,80.0,55.0
22,3.2564399384058107,80.0,55.0
23,3.0746675937114945,80.0,55.0
24,2.530091184627069,80.0,55.0
25,1.9139651691610606,80.0,55.0
26,1.9173639345961644,80.0,55.0
27,1.7515551201600648,80.0,55.0
28,1.808968177576042,80.0,55.0
29,1.9731434736828,80.0,55.0
30,2.427889363173481,80.0,55.0
31,2.6857301637128956,80.0,55.0
32,2.796678376174335,80.0,55.0
33,3.073768938976207,80.0,55.0
34,3.0926468958264537,80.0,55.0
35,3.187973578717442,80.0,55.0
36,3.1978444654502813,80.0,55.0
37,3.1481178845511857,80.0,55.0
38,3.0531802176837246,80.0,55.0
39,3.0245294128039304,80.0,55.0
40,3.051219184786275,80.0,55.0
41,3.072460895110747,80.0,55.0
42,3.149222726169753,80.0,55.0
43,3.1366969043843334,80.0,55.0
44,3.359958179093904,80.0,55.0
45,3.4643105727999255,80.0,55.0
46,2.993775240299891,80.0,55.0
47,2.8536104309870933,80.0,55.0
48,2.426516840988812,80.0,55.0
49,1.885758034197521,80.0,55.0
50,1.7784700373925546,80.0,55.0
51,1.5355111437944569,80.0,55.0
52,1.5627457934568458,80.0,55.0
53,1.771389855405083,80.0,55.0
54,2.1686907431033777,80.0,55.0
55,2.371723552312682,80.0,55.0
56,2.475857009255371,80.0,55.0
57,2.706911426395498,80.0,55.0
58,2.6783258578407025,80.0,55.0
59,2.708921055014608,80.0,55.0
60,2.7108576788736567,80.0,55.0
61,2.7369330157364518,80.0,55.0
62,2.700107351255404,80.0,55.0
63,2.6919502047923967,80.0,55.0
64,2.815949971313126,80.0,55.0
65,2.782286417744536,80.0,55.0
66,2.861441000768009,80.0,55.0
67,2.9428442743510685,80.0,55.0
68,3.0426444268023416,80.0,55.0
69,2.9057426049204476,80.0,55.0
70,2.553757919154691,80.0,55.0
71,2.2564145874889374,80.0,55.0
72,1.7507982008496203,80.0,55.0
73,1.3920661139722423,80.0,55.0
74,1.4136292318892145,80.0,55.0
75,1.280454709042181,80.0,55.0
76,1.2898756208227242,80.0,55.0
77,1.4808966318407188,80.0,55.0
78,1.9656024743586569,80.0,55.0
79,2.2172249156667707,80.0,55.0
80,2.281186397970531,80.0,55.0
81,2.4870578370022627,80.0,55.0
82,2.404547596383173,80.0,55.0
83,2.334942111762369,80.0,55.0
84,2.8238520207621187,80.0,55.0
85,2.831864535346569,80.0,55.0
86,2.514689374791392,80.0,55.0
87,2.787439801928551,80.0,55.0
88,2.835134760760764,80.0,55.0
89,2.726257179614339,80.0,55.0
90,3.248874390144292,80.0,55.0
91,3.1763931991605827,80.0,55.0
92,3.1006540093950843,80.0,55.0
93,3.020418895006626,80.0,55.0
94,2.732319119631161,80.0,55.0
95,2.5025061158580155,80.0,55.0
96,2.3286510543613095,80.0,55.0
97,1.8578328114869582,80.0,55.0
98,1.9173639345961644,80.0,55.0
99,1.7798811400271208,80.0,55.0
100,1.8701962130450982,80.0,55.0
101,2.0636317610854653,80.0,55.0
102,2.523933952762996,80.0,55.0
103,2.7290667406918905,80.0,55.0
104,2.8897831643890948,80.0,55.0
105,3.2354707083060945,80.0,55.0
106,3.4146256064620477,80.0,55.0
107,3.4516171615078464,80.0,55.0
108,3.661607674867405,80.0,55.0
109,3.702565157978478,80.0,55.0
110,3.719480021089474,80.0,55.0
111,3.7569617396901607,80.0,55.0
112,3.984777543216907,80.0,55.0
113,4.136840880947622,80.0,55.0
114,4.229538864829155,80.0,55.0
115,4.437460949123302,80.0,55.0
116,4.429009271738749,80.0,55.0
117,4.438144944978868,80.0,55.0
118,4.289159239307848,80.0,55.0
119,3.9327880534146726,80.0,55.0
120,3.374833245238723,80.0,55.0
121,2.8729009253934414,80.0,55.0
122,2.9837583025710495,80.0,55.0
123,2.9368299727133302,80.0,55.0
124,2.9796642895006173,80.0,55.0
125,3.1399995093069215,80.0,55.0
126,3.4440666765037986,80.0,55.0
127,3.8373513537517456,80.0,55.0
128,4.090754070271612,80.0,55.0
129,4.33611963133818,80.0,55.0
130,4.439171465184639,80.0,55.0
131,4.534745786666119,80.0,55.0
132,4.275828895762202,80.0,55.0
133,4.210912094014117,80.0,55.0
134,4.261442741944014,80.0,55.0
135,4.327978148012114,80.0,55.0
136,4.467211888698949,80.0,55.0
137,4.850794813830859,80.0,55.0
138,5.496076112186383,80.0,55.0
139,5.554659665051292,80.0,55.0
140,5.701524661045321,80.0,55.0
141,5.552527014838186,80.0,55.0
142,5.172858801058267,80.0,55.0
143,4.591372608299658,80.0,55.0
144,3.89467420150794,80.0,55.0
145,3.347525656062987,80.0,55.0
146,3.342174849399767,80.0,55.0
147,3.0428261208230403,80.0,55.0
148,3.21083448517893,80.0,55.0
149,3.0687539313183274,80.0,55.0
150,3.0389525675799445,80.0,55.0
151,3.412816449490361,80.0,55.0
152,3.561333997605626,80.0,55.0
153,3.953034697726491,80.0,55.0
154,4.230479040270788,80.0,55.0
155,4.37748254529338,80.0,55.0
156,4.320696470655452,80.0,55.0
157,4.195992719833573,80.0,55.0
158,4.117269205987127,80.0,55.0
159,4.061018089854988,80.0,55.0
160,4.031127408518093,80.0,55.0
161,4.0249393098786,80.0,55.0
162,4.22875996247424,80.0,55.0
163,4.452061984360222,80.0,55.0
164,4.3795926728455115,80.0,55.0
165,4.130621921767701,80.0,55.0
166,3.630696054985448,80.0,55.0
167,3.2869159208439487,80.0,55.0
168,2.7361827151384412,80.0,55.0
169,2.159402077560254,80.0,55.0
170,2.1928979031081632,80.0,55.0
171,1.9817618733945035,80.0,55.0
172,2.0759933599607745,80.0,55.0
173,1.9909056643807155,80.0,55.0
174,2.258572576670862,80.0,55.0
175,2.5473625024008912,80.0,55.0
176,2.6148282556990727,80.0,55.0
177,3.014246248393094,80.0,55.0
178,3.0510261728177155,80.0,55.0
179,3.132335113260692,80.0,55.0
180,3.1256989839549703,80.0,55.0
181,3.2079752599256293,80.0,55.0
182,3.1839496344934908,80.0,55.0
183,3.153930748044175,80.0,55.0
184,3.1930337482255124,80.0,55.0
185,3.2157268235770724,80.0,55.0
186,3.308780347495848,80.0,55.0
187,3.271312592719597,80.0,55.0
