t,value
1,114.12
2,113.79
3,113.79
4,111.79
5,111.78
6,111.78
7,111.78
8,111.78
9,151.32
10,151.32
11,148.86
12,148.86
13,148.86
14,148.86
15,151.32
16,174.05
17,208.02
18,208.02
19,208.02
20,208.02
21,147.22
22,133.32
23,127.89
24,124.92
25,44.46
26,40.67
27,40.66
28,40.66
29,40.67
30,44.46
31,44.46
32,81.98
33,110.98
34,110.98
35,82.13
36,82.13
37,82.13
38,82.13
39,159.31
40,166.53
41,183.38
42,199.29
43,199.29
44,199.29
45,135.45
46,127.22
47,122.43
48,113.79
49,112.77
50,112.77
51,112.77
52,112.77
53,112.77
54,117.0
55,128.42
56,147.22
57,232.55
58,239.71
59,250.02
60,235.66
61,214.69
62,216.88
63,242.28
64,252.27
65,265.72
66,271.12
67,271.12
68,271.12
69,196.29
70,194.33
71,185.58
72,176.97
73,147.22
74,147.22
75,147.22
76,147.22
77,147.22
78,147.22
79,179.57
80,196.29
81,265.72
82,265.72
83,200.69
84,196.63
85,196.63
86,196.63
87,226.74
88,257.82
89,265.72
90,265.72
91,265.72
92,265.72
93,196.29
94,179.57
95,176.97
96,160.99
97,142.59
98,131.54
99,131.54
100,131.54
101,131.54
102,131.54
103,131.54
104,161.76
105,218.98
106,178.06
107,178.06
108,177.16
109,177.16
110,178.06
111,179.2
112,240.62
113,255.25
114,255.25
115,243.08
116,240.62
117,175.38
118,147.22
119,147.22
120,135.45
121,127.22
122,119.14
123,113.79
124,113.79
125,113.79
126,113.54
127,113.52
128,113.79
129,119.14
130,113.79
131,113.52
132,113.52
133,113.52
134,113.52
135,119.14
136,147.22
137,153.4
138,153.4
139,153.4
140,147.22
141,133.18
142,125.27
143,127.15
144,124.78
145,114.12
146,113.79
147,113.79
148,111.79
149,111.78
150,111.78
151,111.78
152,111.78
153,111.78
154,111.78
155,109.96
156,109.96
157,109.96
158,109.96
159,111.78
160,128.57
161,153.67
162,153.67
163,153.67
164,153.67
165,147.22
166,133.32
167,127.89
168,124.92
