t,value
1,16.039
2,16.039
3,16.039
4,16.039
5,16.039
6,16.039
7,16.039
8,16.039
9,16.039
10,16.039
11,16.039
12,16.039
13,16.039
14,16.039
15,16.039
16,16.039
17,16.039
18,16.039
19,16.039
20,16.039
21,16.039
22,16.039
23,16.039
24,16.039
25,16.039
26,16.039
27,16.039
28,16.039
29,16.039
30,16.039
31,16.039
32,16.039
33,16.039
34,16.039
35,16.039
36,16.039
37,16.039
38,16.039
39,16.039
40,16.039
41,16.039
42,16.039
43,16.039
44,16.039
45,16.039
46,16.039
47,16.039
48,16.039
49,16.039
50,16.039
51,16.039
52,16.039
53,16.039
54,16.039
55,16.039
56,16.039
57,16.039
58,16.039
59,16.039
60,16.039
61,16.039
62,16.039
63,16.039
64,16.039
65,16.039
66,16.039
67,16.039
68,16.039
69,16.039
70,16.039
71,16.039
72,16.039
73,16.039
74,16.039
75,16.039
76,16.039
77,16.039
78,16.039
79,16.039
80,16.039
81,16.039
82,16.039
83,16.039
84,16.039
85,16.039
86,16.039
87,16.039
88,16.039
89,16.039
90,16.039
91,16.039
92,16.039
93,16.039
94,16.039
95,16.039
96,16.039
97,16.039
98,16.039
99,16.039
100,16.039
101,16.039
102,16.039
103,16.039
104,16.039
105,16.039
106,16.039
107,16.039
108,16.039
109,16.039
110,16.039
111,16.039
112,16.039
113,16.039
114,16.039
115,16.039
116,16.039
117,16.039
118,16.039
119,16.039
120,16.039
121,16.039
122,16.039
123,16.039
124,16.039
125,16.039
126,16.039
127,16.039
128,16.039
129,16.039
130,16.039
131,16.039
132,16.039
133,16.039
134,16.039
135,16.039
136,16.039
137,16.039
138,16.039
139,16.039
140,16.039
141,16.039
142,16.039
143,16.039
144,16.039
145,16.039
146,16.039
147,16.039
148,16.039
149,16.039
150,16.039
151,16.039
152,16.039
153,16.039
154,16.039
155,16.039
156,16.039
157,16.039
158,16.039
159,16.039
160,16.039
161,16.039
162,16.039
163,16.039
164,16.039
165,16.039
166,16.039
167,16.039
168,16.039
169,15.372
170,15.372
171,15.372
172,15.372
173,15.372
174,15.372
175,15.372
176,15.372
177,15.372
178,15.372
179,15.372
180,15.372
181,15.372
182,15.372
183,15.372
184,15.372
185,15.372
186,15.372
187,15.372
188,15.372
189,15.372
190,15.372
191,15.372
192,15.372
193,15.372
194,15.372
195,15.372
196,15.372
197,15.372
198,15.372
199,15.372
200,15.372
201,15.372
202,15.372
203,15.372
204,15.372
205,15.372
206,15.372
207,15.372
208,15.372
209,15.372
210,15.372
211,15.372
212,15.372
213,15.372
214,15.372
215,15.372
216,15.372
217,15.372
218,15.372
219,15.372
220,15.372
221,15.372
222,15.372
223,15.372
224,15.372
225,15.372
226,15.372
227,15.372
228,15.372
229,15.372
230,15.372
231,15.372
232,15.372
233,15.372
234,15.372
235,15.372
236,15.372
237,15.372
238,15.372
239,15.372
240,15.372
241,15.372
242,15.372
243,15.372
244,15.372
245,15.372
246,15.372
247,15.372
248,15.372
249,15.372
250,15.372
251,15.372
252,15.372
253,15.372
254,15.372
255,15.372
256,15.372
257,15.372
258,15.372
259,15.372
260,15.372
261,15.372
262,15.372
263,15.372
264,15.372
265,15.372
266,15.372
267,15.372
268,15.372
269,15.372
270,15.372
271,15.372
272,15.372
273,15.372
274,15.372
275,15.372
276,15.372
277,15.372
278,15.372
279,15.372
280,15.372
281,15.372
282,15.372
283,15.372
284,15.372
285,15.372
286,15.372
287,15.372
288,15.372
289,15.372
290,15.372
291,15.372
292,15.372
293,15.372
294,15.372
295,15.372
296,15.372
297,15.372
298,15.372
299,15.372
300,15.372
301,15.372
302,15.372
303,15.372
304,15.372
305,15.372
306,15.372
307,15.372
308,15.372
309,15.372
310,15.372
311,15.372
312,15.372
313,15.372
314,15.372
315,15.372
316,15.372
317,15.372
318,15.372
319,15.372
320,15.372
321,15.372
322,15.372
323,15.372
324,15.372
325,15.372
326,15.372
327,15.372
328,15.372
329,15.372
330,15.372
331,15.372
332,15.372
333,15.372
334,15.372
335,15.372
336,15.372
337,15.289
338,15.289
339,15.289
340,15.289
341,15.289
342,15.289
343,15.289
344,15.289
345,15.289
346,15.289
347,15.289
348,15.289
349,15.289
350,15.289
351,15.289
352,15.289
353,15.289
354,15.289
355,15.289
356,15.289
357,15.289
358,15.289
359,15.289
360,15.289
361,15.289
362,15.289
363,15.289
364,15.289
365,15.289
366,15.289
367,15.289
368,15.289
369,15.289
370,15.289
371,15.289
372,15.289
373,15.289
374,15.289
375,15.289
376,15.289
377,15.289
378,15.289
379,15.289
380,15.289
381,15.289
382,15.289
383,15.289
384,15.289
385,15.289
386,15.289
387,15.289
388,15.289
389,15.289
390,15.289
391,15.289
392,15.289
393,15.289
394,15.289
395,15.289
396,15.289
397,15.289
398,15.289
399,15.289
400,15.289
401,15.289
402,15.289
403,15.289
404,15.289
405,15.289
406,15.289
407,15.289
408,15.289
409,15.289
410,15.289
411,15.289
412,15.289
413,15.289
414,15.289
415,15.289
416,15.289
417,15.289
418,15.289
419,15.289
420,15.289
421,15.289
422,15.289
423,15.289
424,15.289
425,15.289
426,15.289
427,15.289
428,15.289
429,15.289
430,15.289
431,15.289
432,15.289
433,15.289
434,15.289
435,15.289
436,15.289
437,15.289
438,15.289
439,15.289
440,15.289
441,15.289
442,15.289
443,15.289
444,15.289
445,15.289
446,15.289
447,15.289
448,15.289
449,15.289
450,15.289
451,15.289
452,15.289
453,15.289
454,15.289
455,15.289
456,15.289
457,15.289
458,15.289
459,15.289
460,15.289
461,15.289
462,15.289
463,15.289
464,15.289
465,15.289
466,15.289
467,15.289
468,15.289
469,15.289
470,15.289
471,15.289
472,15.289
473,15.289
474,15.289
475,15.289
476,15.289
477,15.289
478,15.289
479,15.289
480,15.289
481,15.289
482,15.289
483,15.289
484,15.289
485,15.289
486,15.289
487,15.289
488,15.289
489,15.289
490,15.289
491,15.289
492,15.289
493,15.289
494,15.289
495,15.289
496,15.289
497,15.289
498,15.289
499,15.289
500,15.289
501,15.289
502,15.289
503,15.289
504,15.289
505,15.011
506,15.011
507,15.011
508,15.011
509,15.011
510,15.011
511,15.011
512,15.011
513,15.011
514,15.011
515,15.011
516,15.011
517,15.011
518,15.011
519,15.011
520,15.011
521,15.011
522,15.011
523,15.011
524,15.011
525,15.011
526,15.011
527,15.011
528,15.011
529,15.011
530,15.011
531,15.011
532,15.011
533,15.011
534,15.011
535,15.011
536,15.011
537,15.011
538,15.011
539,15.011
540,15.011
541,15.011
542,15.011
543,15.011
544,15.011
545,15.011
546,15.011
547,15.011
548,15.011
549,15.011
550,15.011
551,15.011
552,15.011
553,15.011
554,15.011
555,15.011
556,15.011
557,15.011
558,15.011
559,15.011
560,15.011
561,15.011
562,15.011
563,15.011
564,15.011
565,15.011
566,15.011
567,15.011
568,15.011
569,15.011
570,15.011
571,15.011
572,15.011
573,15.011
574,15.011
575,15.011
576,15.011
577,15.011
578,15.011
579,15.011
580,15.011
581,15.011
582,15.011
583,15.011
584,15.011
585,15.011
586,15.011
587,15.011
588,15.011
589,15.011
590,15.011
591,15.011
592,15.011
593,15.011
594,15.011
595,15.011
596,15.011
597,15.011
598,15.011
599,15.011
600,15.011
601,15.011
602,15.011
603,15.011
604,15.011
605,15.011
606,15.011
607,15.011
608,15.011
609,15.011
610,15.011
611,15.011
612,15.011
613,15.011
614,15.011
615,15.011
616,15.011
617,15.011
618,15.011
619,15.011
620,15.011
621,15.011
622,15.011
623,15.011
624,15.011
625,15.011
626,15.011
627,15.011
628,15.011
629,15.011
630,15.011
631,15.011
632,15.011
633,15.011
634,15.011
635,15.011
636,15.011
637,15.011
638,15.011
639,15.011
640,15.011
641,15.011
642,15.011
643,15.011
644,15.011
645,15.011
646,15.011
647,15.011
648,15.011
649,15.011
650,15.011
651,15.011
652,15.011
653,15.011
654,15.011
655,15.011
656,15.011
657,15.011
658,15.011
659,15.011
660,15.011
661,15.011
662,15.011
663,15.011
664,15.011
665,15.011
666,15.011
667,15.011
668,15.011
669,15.011
670,15.011
671,15.011
672,15.011
673,14.51
674,14.51
675,14.51
676,14.51
677,14.51
678,14.51
679,14.51
680,14.51
681,14.51
682,14.51
683,14.51
684,14.51
685,14.51
686,14.51
687,14.51
688,14.51
689,14.51
690,14.51
691,14.51
692,14.51
693,14.51
694,14.51
695,14.51
696,14.51
697,14.51
698,14.51
699,14.51
700,14.51
701,14.51
702,14.51
703,14.51
704,14.51
705,14.51
706,14.51
707,14.51
708,14.51
709,14.51
710,14.51
711,14.51
712,14.51
713,14.51
714,14.51
715,14.51
716,14.51
717,14.51
718,14.51
719,14.51
720,14.51
721,14.51
722,14.51
723,14.51
724,14.51
725,14.51
726,14.51
727,14.51
728,14.51
729,14.51
730,14.51
731,14.51
732,14.51
733,14.51
734,14.51
735,14.51
736,14.51
737,14.51
738,14.51
739,14.51
740,14.51
741,14.51
742,14.51
743,14.51
744,14.51
745,14.51
746,14.51
747,14.51
748,14.51
749,14.51
750,14.51
751,14.51
752,14.51
753,14.51
754,14.51
755,14.51
756,14.51
757,14.51
758,14.51
759,14.51
760,14.51
761,14.51
762,14.51
763,14.51
764,14.51
765,14.51
766,14.51
767,14.51
768,14.51
769,14.51
770,14.51
771,14.51
772,14.51
773,14.51
774,14.51
775,14.51
776,14.51
777,14.51
778,14.51
779,14.51
780,14.51
781,14.51
782,14.51
783,14.51
784,14.51
785,14.51
786,14.51
787,14.51
788,14.51
789,14.51
790,14.51
791,14.51
792,14.51
793,14.51
794,14.51
