t,value
1,33.08
2,33.08
3,33.08
4,33.08
5,33.08
6,30.62
7,29.7
8,30.0
9,30.0
10,29.7
11,29.7
12,29.7
13,29.7
14,29.7
15,29.7
16,33.76
17,45.61
18,45.61
19,45.61
20,45.61
21,45.61
22,36.87
23,33.75
24,33.75
25,33.75
26,33.75
27,33.75
28,33.75
29,33.75
30,33.75
31,39.58
32,76.78
33,86.34
34,81.57
35,77.92
36,73.41
37,73.41
38,73.42
39,76.45
40,95.01
41,95.02
42,95.03
43,95.03
44,95.03
45,95.02
46,95.02
47,91.0
48,81.33
49,71.14
50,71.14
51,71.14
52,71.14
53,71.14
54,71.14
55,95.01
56,95.02
57,95.02
58,95.01
59,77.94
60,70.31
61,70.31
62,70.31
63,70.31
64,92.87
65,95.01
66,95.01
67,95.01
68,95.01
69,95.01
70,84.15
71,83.13
72,70.31
73,70.31
74,70.31
75,70.31
76,70.31
77,70.31
78,70.31
79,70.31
80,78.12
81,82.16
82,42.74
83,34.1
84,34.09
85,34.09
86,34.09
87,41.23
88,57.76
89,57.76
90,57.76
91,57.76
92,57.76
93,57.76
94,57.76
95,38.84
96,33.75
97,33.75
98,33.42
99,33.08
100,33.08
101,33.08
102,33.08
103,33.08
104,33.09
105,33.75
106,33.08
107,29.7
108,29.7
109,29.7
110,29.7
111,33.08
112,33.75
113,34.09
114,34.94
115,34.09
116,33.75
117,33.75
118,33.75
119,33.75
120,33.08
121,33.08
122,33.08
123,33.08
124,33.08
125,33.08
126,30.62
127,29.7
128,30.0
129,30.0
130,29.7
131,29.7
132,29.7
133,29.7
134,29.7
135,29.7
136,33.76
137,45.61
138,45.61
139,45.61
140,45.61
141,45.61
142,36.87
143,33.75
144,33.75
145,33.75
146,33.75
147,33.75
148,33.75
149,33.75
150,33.75
151,34.09
152,42.7
153,74.41
154,78.74
155,72.39
156,78.74
157,78.75
158,78.75
159,78.75
160,78.75
161,78.75
162,78.75
163,78.75
164,78.75
165,77.09
166,74.41
167,71.11
168,58.27
169,58.27
170,58.27
171,58.27
172,58.27
173,58.27
174,58.27
175,74.42
176,93.43
177,105.0
178,105.0
179,94.5
180,94.5
181,94.5
182,105.0
183,105.0
184,105.0
185,105.0
186,105.0
187,105.0
188,93.44
189,78.75
190,78.75
191,78.75
192,78.75
193,78.75
194,78.75
195,78.75
196,78.75
197,78.75
198,78.75
199,79.89
200,105.0
201,105.0
202,105.0
203,105.0
204,105.0
205,105.0
206,105.0
207,105.0
208,105.0
209,105.0
210,105.0
211,105.0
212,105.0
213,93.43
214,78.76
215,78.75
216,78.75
217,78.75
218,78.75
219,78.75
220,78.75
221,78.75
222,78.75
223,105.0
224,105.0
225,105.0
226,105.0
227,78.75
228,70.88
229,78.72
230,78.76
231,78.76
232,78.75
233,78.75
234,78.75
235,78.75
236,74.41
237,56.94
238,56.94
239,56.13
240,34.1
241,34.09
242,34.09
243,34.09
244,34.09
245,34.09
246,34.09
247,34.09
248,37.88
249,39.85
250,34.3
251,34.09
252,34.09
253,34.09
254,34.09
255,34.79
256,77.12
257,78.75
258,78.75
259,78.75
260,78.75
261,78.75
262,78.75
263,78.75
264,78.69
265,70.87
266,71.9
267,75.56
268,78.75
269,78.75
270,78.75
271,78.75
272,78.75
273,78.75
274,78.75
275,70.87
276,70.87
277,70.87
278,78.75
279,78.75
280,78.75
281,78.75
282,78.75
283,78.75
284,75.56
285,56.94
286,56.94
287,56.94
288,38.64
289,33.75
290,33.75
291,33.75
292,33.75
293,33.75
294,33.75
295,33.75
296,33.75
297,33.75
298,33.75
299,33.75
300,33.75
301,33.75
302,33.75
303,33.75
304,33.75
305,38.77
306,56.93
307,56.94
308,56.94
309,56.94
310,56.94
311,56.94
312,56.94
313,94.75
314,94.75
315,94.75
316,95.7
317,97.56
318,97.56
319,117.08
320,126.54
321,126.54
322,126.54
323,126.54
324,126.54
325,126.54
326,126.54
327,126.54
328,126.54
329,126.54
330,126.54
331,126.54
332,123.98
333,118.8
334,113.58
335,105.0
336,97.56
337,97.56
338,97.56
339,97.56
340,97.56
341,97.56
342,97.56
343,105.0
344,115.89
345,115.89
346,115.89
347,105.0
348,97.56
349,97.56
350,97.56
351,97.56
352,113.58
353,117.06
354,117.61
355,117.61
356,117.61
357,115.89
358,101.8
359,97.56
360,97.56
361,94.21
362,92.77
363,92.77
364,92.77
365,92.77
366,92.77
367,92.77
368,97.56
369,116.28
370,116.67
371,113.58
372,107.11
373,105.0
374,106.77
375,115.0
376,119.43
377,120.64
378,120.64
379,120.64
380,120.64
381,120.64
382,120.64
383,115.89
384,104.99
385,97.56
386,97.56
387,97.56
388,97.56
389,97.56
390,99.8
391,115.9
392,120.64
393,120.64
394,105.0
395,92.77
396,92.77
397,92.77
398,92.77
399,92.77
400,116.92
401,120.64
402,120.64
403,120.64
404,120.64
405,120.08
406,115.89
407,115.89
408,110.9
409,97.56
410,97.56
411,97.56
412,97.56
413,97.56
414,97.56
415,115.89
416,126.54
417,128.86
418,132.41
419,132.42
420,132.42
421,132.42
422,132.42
423,132.42
424,132.42
425,132.42
426,132.42
427,132.42
428,132.42
429,132.42
430,126.54
431,126.54
432,126.54
433,126.54
434,118.24
435,115.9
436,115.9
437,115.9
438,115.9
439,118.24
440,126.54
441,126.54
442,126.52
443,118.24
444,115.19
445,114.04
446,112.89
447,115.89
448,115.89
449,118.24
450,125.43
451,117.06
452,115.89
453,114.73
454,105.0
455,97.98
456,97.56
457,97.56
458,97.56
459,97.56
460,97.56
461,97.56
462,97.56
463,97.56
464,102.96
465,116.86
466,126.01
467,123.42
468,120.13
469,119.46
470,126.54
471,130.64
472,132.42
