t,value
1,70.32
2,70.32
3,70.32
4,70.32
5,70.32
6,70.32
7,70.32
8,70.32
9,70.32
10,70.32
11,70.32
12,70.32
13,70.32
14,70.32
15,70.32
16,71.76
17,94.12
18,95.03
19,95.03
20,95.03
21,90.65
22,82.41
23,71.77
24,70.32
25,70.32
26,69.62
27,69.62
28,69.62
29,69.62
30,69.62
31,70.32
32,70.32
33,70.32
34,70.32
35,70.32
36,70.32
37,70.32
38,70.32
39,70.32
40,70.32
41,87.87
42,96.69
43,96.67
44,96.67
45,96.63
46,93.64
47,92.48
48,88.22
49,74.3
50,71.77
51,71.77
52,71.77
53,71.77
54,73.88
55,87.91
56,97.64
57,102.83
58,101.82
59,94.6
60,92.55
61,92.54
62,93.31
63,97.32
64,108.06
65,124.71
66,124.76
67,124.76
68,124.76
69,124.71
70,117.0
71,111.35
72,96.71
73,92.61
74,90.16
75,90.15
76,90.15
77,90.15
78,90.15
79,95.73
80,110.25
81,112.27
82,110.25
83,96.54
84,89.85
85,89.85
86,89.85
87,90.73
88,101.8
89,122.22
90,123.35
91,122.22
92,122.22
93,121.42
94,106.22
95,101.08
96,95.46
97,93.61
98,89.52
99,87.5
100,85.54
101,82.92
102,82.92
103,82.92
104,92.13
105,92.88
106,86.54
107,71.95
108,71.76
109,71.76
110,71.77
111,75.46
112,97.04
113,97.24
114,97.24
115,97.24
116,97.23
117,90.54
118,82.44
119,75.46
120,71.77
121,70.32
122,70.32
123,70.32
124,70.32
125,70.32
126,70.32
127,70.32
128,70.32
129,70.32
130,70.32
131,70.32
132,70.32
133,70.32
134,70.32
135,70.32
136,70.32
137,71.03
138,74.73
139,71.78
140,71.03
141,70.32
142,70.32
143,70.32
144,70.32
145,70.32
146,70.32
147,70.32
148,70.32
149,70.32
150,70.32
151,70.32
152,70.32
153,70.32
154,70.32
155,70.32
156,70.32
157,70.32
158,70.32
159,70.32
160,71.76
161,94.12
162,95.03
163,95.03
164,95.03
165,90.65
166,82.41
167,71.77
168,70.32
169,70.32
170,70.32
171,70.32
172,70.32
173,70.32
174,70.32
175,70.32
176,75.35
177,91.9
178,95.94
179,92.96
180,88.11
181,88.12
182,91.89
183,94.12
184,100.48
185,100.5
186,100.5
187,100.5
188,99.52
189,97.5
190,90.33
191,87.5
192,75.63
193,74.38
194,74.38
195,74.38
196,74.38
197,74.38
198,74.39
199,84.28
200,99.15
201,105.35
202,105.35
203,96.69
204,94.81
205,94.81
206,95.81
207,105.87
208,115.34
209,115.34
210,115.34
211,115.34
212,115.34
213,115.33
214,105.87
215,104.84
216,95.92
217,90.59
218,85.35
219,85.35
220,85.35
221,85.35
222,85.35
223,92.26
224,105.34
225,109.46
226,116.47
227,107.66
228,109.98
229,110.45
230,116.48
231,125.92
232,125.54
233,127.21
234,127.21
235,127.21
236,127.21
237,125.92
238,115.77
239,106.22
240,100.13
241,92.45
242,84.23
243,84.23
244,84.23
245,84.23
246,84.23
247,105.87
248,113.83
249,113.83
250,105.87
251,90.0
252,81.75
253,82.66
254,90.83
255,90.83
256,81.75
257,81.75
258,90.83
259,90.83
260,90.83
261,75.49
262,72.49
263,71.75
264,71.03
265,71.03
266,71.03
267,71.03
268,71.03
269,71.03
270,71.03
271,71.03
272,89.37
273,94.2
274,89.37
275,71.03
276,71.03
277,71.03
278,71.03
279,88.45
280,96.48
281,105.87
282,113.81
283,113.81
284,113.81
285,111.52
286,100.21
287,100.21
