t,value
1,53.47
2,52.94
3,52.93
4,52.93
5,52.93
6,52.93
7,52.93
8,53.46
9,53.46
10,52.93
11,52.93
12,52.93
13,52.91
14,52.93
15,53.47
16,66.54
17,105.0
18,108.94
19,108.95
20,108.94
21,72.25
22,70.57
23,65.28
24,60.76
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,10.0
40,60.15
41,83.3
42,83.3
43,83.3
44,83.3
45,83.3
46,83.3
47,83.3
48,62.73
49,61.64
50,61.64
51,61.64
52,61.64
53,61.64
54,62.47
55,102.04
56,114.18
57,120.85
58,120.85
59,114.0
60,108.76
61,108.75
62,108.76
63,111.27
64,128.27
65,131.94
66,133.18
67,133.18
68,133.17
69,131.57
70,131.55
71,129.64
72,120.35
73,112.13
74,105.13
75,105.13
76,105.13
77,105.13
78,105.13
79,121.62
80,130.24
81,131.55
82,129.63
83,116.4
84,102.14
85,98.66
86,102.14
87,107.34
88,121.21
89,131.55
90,131.55
91,131.55
92,131.55
93,130.25
94,128.93
95,128.41
96,120.84
97,113.19
98,109.77
99,105.0
100,105.0
101,105.0
102,105.0
103,110.92
104,128.26
105,128.26
106,102.04
107,62.95
108,53.48
109,53.47
110,60.76
111,93.89
112,113.19
113,125.18
114,125.19
115,125.18
116,125.18
117,121.58
118,110.44
119,105.0
120,101.95
121,60.19
122,53.47
123,53.47
124,53.47
125,53.47
126,53.47
127,53.47
128,58.33
129,59.39
130,53.46
131,52.93
132,52.93
133,36.13
134,52.93
135,53.46
136,60.15
137,63.2
138,70.58
139,63.21
140,62.94
141,60.15
142,60.15
143,60.15
144,53.47
145,53.47
146,52.94
147,52.93
148,52.93
149,52.93
150,52.93
151,52.93
152,53.46
153,53.46
154,52.93
155,52.93
156,52.93
157,52.91
158,52.93
159,53.47
160,66.54
161,105.0
162,108.94
163,108.95
164,108.94
165,72.25
166,70.57
167,65.28
168,60.76
169,53.47
170,53.47
171,53.47
172,53.47
173,53.47
174,53.47
175,59.88
176,99.61
177,115.03
178,121.15
179,119.78
180,109.04
181,111.46
182,117.61
183,123.15
184,123.15
185,123.15
186,123.15
187,123.15
188,123.15
189,111.99
190,106.03
191,99.6
192,91.13
193,91.13
194,91.13
195,91.13
196,91.13
197,91.13
198,91.13
199,101.11
200,126.21
201,128.93
202,126.22
203,113.6
204,113.59
205,109.91
206,113.59
207,125.36
208,131.52
209,131.54
210,131.55
211,131.54
212,131.54
213,129.22
214,121.58
215,117.84
216,110.75
217,98.65
218,97.42
219,97.42
220,97.42
221,97.42
222,97.44
223,113.84
224,130.24
225,131.55
226,131.55
227,131.54
228,130.52
229,130.53
230,131.55
231,131.55
232,131.55
233,136.29
234,136.29
235,136.29
236,136.28
237,131.55
238,131.55
239,129.09
240,117.83
241,108.15
242,97.91
243,97.89
244,97.89
245,97.89
246,101.1
247,130.24
248,131.55
249,131.55
250,130.53
251,105.0
252,94.39
253,105.0
254,116.7
255,116.71
256,111.5
257,105.04
258,116.72
259,116.71
260,115.31
261,64.56
262,61.97
263,61.35
264,60.76
265,55.67
266,55.67
267,55.67
268,55.67
269,55.67
270,60.2
271,61.37
272,82.89
273,83.14
274,81.82
275,61.34
276,55.67
