t,value
1,35.258
2,35.258
3,35.258
4,35.258
5,35.258
6,35.258
7,35.258
8,35.258
9,35.258
10,35.258
11,35.258
12,35.258
13,35.258
14,35.258
15,35.258
16,35.258
17,35.258
18,35.258
19,35.258
20,35.258
21,35.258
22,35.258
23,35.258
24,35.258
25,35.258
26,35.258
27,35.258
28,35.258
29,35.258
30,35.258
31,35.258
32,35.258
33,35.258
34,35.258
35,35.258
36,35.258
37,35.258
38,35.258
39,35.258
40,35.258
41,35.258
42,35.258
43,35.258
44,35.258
45,35.258
46,35.258
47,35.258
48,35.258
49,35.258
50,35.258
51,35.258
52,35.258
53,35.258
54,35.258
55,35.258
56,35.258
57,35.258
58,35.258
59,35.258
60,35.258
61,35.258
62,35.258
63,35.258
64,35.258
65,35.258
66,35.258
67,35.258
68,35.258
69,35.258
70,35.258
71,35.258
72,35.258
73,35.258
74,35.258
75,35.258
76,35.258
77,35.258
78,35.258
79,35.258
80,35.258
81,35.258
82,35.258
83,35.258
84,35.258
85,35.258
86,35.258
87,35.258
88,35.258
89,35.258
90,35.258
91,35.258
92,35.258
93,35.258
94,35.258
95,35.258
96,35.258
97,35.258
98,35.258
99,35.258
100,35.258
101,35.258
102,35.258
103,35.258
104,35.258
105,35.258
106,35.258
107,35.258
108,35.258
109,35.258
110,35.258
111,35.258
112,35.258
113,35.258
114,35.258
115,35.258
116,35.258
117,35.258
118,35.258
119,35.258
120,35.258
121,33.792
122,33.792
123,33.792
124,33.792
125,33.792
126,33.792
127,33.792
128,33.792
129,33.792
130,33.792
131,33.792
132,33.792
133,33.792
134,33.792
135,33.792
136,33.792
137,33.792
138,33.792
139,33.792
140,33.792
141,33.792
142,33.792
143,33.792
144,33.792
145,33.792
146,33.792
147,33.792
148,33.792
149,33.792
150,33.792
151,33.792
152,33.792
153,33.792
154,33.792
155,33.792
156,33.792
157,33.792
158,33.792
159,33.792
160,33.792
161,33.792
162,33.792
163,33.792
164,33.792
165,33.792
166,33.792
167,33.792
168,33.792
169,33.792
170,33.792
171,33.792
172,33.792
173,33.792
174,33.792
175,33.792
176,33.792
177,33.792
178,33.792
179,33.792
180,33.792
181,33.792
182,33.792
183,33.792
184,33.792
185,33.792
186,33.792
187,33.792
188,33.792
189,33.792
190,33.792
191,33.792
192,33.792
193,33.792
194,33.792
195,33.792
196,33.792
197,33.792
198,33.792
199,33.792
200,33.792
201,33.792
202,33.792
203,33.792
204,33.792
205,33.792
206,33.792
207,33.792
208,33.792
209,33.792
210,33.792
211,33.792
212,33.792
213,33.792
214,33.792
215,33.792
216,33.792
217,33.792
218,33.792
219,33.792
220,33.792
221,33.792
222,33.792
223,33.792
224,33.792
225,33.792
226,33.792
227,33.792
228,33.792
229,33.792
230,33.792
231,33.792
232,33.792
233,33.792
234,33.792
235,33.792
236,33.792
237,33.792
238,33.792
239,33.792
240,33.792
241,33.792
242,33.792
243,33.792
244,33.792
245,33.792
246,33.792
247,33.792
248,33.792
249,33.792
250,33.792
251,33.792
252,33.792
253,33.792
254,33.792
255,33.792
256,33.792
257,33.792
258,33.792
259,33.792
260,33.792
261,33.792
262,33.792
263,33.792
264,33.792
265,33.792
266,33.792
267,33.792
268,33.792
269,33.792
270,33.792
271,33.792
272,33.792
273,33.792
274,33.792
275,33.792
276,33.792
277,33.792
278,33.792
279,33.792
280,33.792
281,33.792
282,33.792
283,33.792
284,33.792
285,33.792
286,33.792
287,33.792
288,33.792
289,33.608
290,33.608
291,33.608
292,33.608
293,33.608
294,33.608
295,33.608
296,33.608
297,33.608
298,33.608
299,33.608
300,33.608
301,33.608
302,33.608
303,33.608
304,33.608
305,33.608
306,33.608
307,33.608
308,33.608
309,33.608
310,33.608
311,33.608
312,33.608
313,33.608
314,33.608
315,33.608
316,33.608
317,33.608
318,33.608
319,33.608
320,33.608
321,33.608
322,33.608
323,33.608
324,33.608
325,33.608
326,33.608
327,33.608
328,33.608
329,33.608
330,33.608
331,33.608
332,33.608
333,33.608
334,33.608
335,33.608
336,33.608
337,33.608
338,33.608
339,33.608
340,33.608
341,33.608
342,33.608
343,33.608
344,33.608
345,33.608
346,33.608
347,33.608
348,33.608
349,33.608
350,33.608
351,33.608
352,33.608
353,33.608
354,33.608
355,33.608
356,33.608
357,33.608
358,33.608
359,33.608
360,33.608
361,33.608
362,33.608
363,33.608
364,33.608
365,33.608
366,33.608
367,33.608
368,33.608
369,33.608
370,33.608
371,33.608
372,33.608
373,33.608
374,33.608
375,33.608
376,33.608
377,33.608
378,33.608
379,33.608
380,33.608
381,33.608
382,33.608
383,33.608
384,33.608
385,33.608
386,33.608
387,33.608
388,33.608
389,33.608
390,33.608
391,33.608
392,33.608
393,33.608
394,33.608
395,33.608
396,33.608
397,33.608
398,33.608
399,33.608
400,33.608
401,33.608
402,33.608
403,33.608
404,33.608
405,33.608
406,33.608
407,33.608
408,33.608
409,33.608
410,33.608
411,33.608
412,33.608
413,33.608
414,33.608
415,33.608
416,33.608
417,33.608
418,33.608
419,33.608
420,33.608
421,33.608
422,33.608
423,33.608
424,33.608
425,33.608
426,33.608
427,33.608
428,33.608
429,33.608
430,33.608
431,33.608
432,33.608
433,33.608
434,33.608
435,33.608
436,33.608
437,33.608
438,33.608
439,33.608
440,33.608
441,33.608
442,33.608
443,33.608
444,33.608
445,33.608
446,33.608
447,33.608
448,33.608
449,33.608
450,33.608
451,33.608
452,33.608
453,33.608
