<<<<<<< HEAD
t,value
1,18.679
2,18.679
3,18.679
4,18.679
5,18.679
6,18.679
7,18.679
8,18.679
9,18.679
10,18.679
11,18.679
12,18.679
13,18.679
14,18.679
15,18.679
16,18.679
17,18.679
18,18.679
19,18.679
20,18.679
21,18.679
22,18.679
23,18.679
24,18.679
25,18.679
26,18.679
27,18.679
28,18.679
29,18.679
30,18.679
31,18.679
32,18.679
33,18.679
34,18.679
35,18.679
36,18.679
37,18.679
38,18.679
39,18.679
40,18.679
41,18.679
42,18.679
43,18.679
44,18.679
45,18.679
46,18.679
47,18.679
48,18.679
49,17.902
50,17.902
51,17.902
52,17.902
53,17.902
54,17.902
55,17.902
56,17.902
57,17.902
58,17.902
59,17.902
60,17.902
61,17.902
62,17.902
63,17.902
64,17.902
65,17.902
66,17.902
67,17.902
68,17.902
69,17.902
70,17.902
71,17.902
72,17.902
73,17.902
74,17.902
75,17.902
76,17.902
77,17.902
78,17.902
79,17.902
80,17.902
81,17.902
82,17.902
83,17.902
84,17.902
85,17.902
86,17.902
87,17.902
88,17.902
89,17.902
90,17.902
91,17.902
92,17.902
93,17.902
94,17.902
95,17.902
96,17.902
97,17.902
98,17.902
99,17.902
100,17.902
101,17.902
102,17.902
103,17.902
104,17.902
105,17.902
106,17.902
107,17.902
108,17.902
109,17.902
110,17.902
111,17.902
112,17.902
113,17.902
114,17.902
115,17.902
116,17.902
117,17.902
118,17.902
119,17.902
120,17.902
121,17.902
122,17.902
123,17.902
124,17.902
125,17.902
126,17.902
127,17.902
128,17.902
129,17.902
130,17.902
131,17.902
132,17.902
133,17.902
134,17.902
135,17.902
136,17.902
137,17.902
138,17.902
139,17.902
140,17.902
141,17.902
142,17.902
143,17.902
144,17.902
145,17.902
146,17.902
147,17.902
148,17.902
149,17.902
150,17.902
151,17.902
152,17.902
153,17.902
154,17.902
155,17.902
156,17.902
157,17.902
158,17.902
159,17.902
160,17.902
161,17.902
162,17.902
163,17.902
164,17.902
165,17.902
166,17.902
167,17.902
168,17.902
169,17.902
170,17.902
171,17.902
172,17.902
173,17.902
174,17.902
175,17.902
176,17.902
177,17.902
178,17.902
179,17.902
180,17.902
181,17.902
182,17.902
183,17.902
184,17.902
185,17.902
186,17.902
187,17.902
188,17.902
189,17.902
190,17.902
191,17.902
192,17.902
193,17.902
194,17.902
195,17.902
196,17.902
197,17.902
198,17.902
199,17.902
200,17.902
201,17.902
202,17.902
203,17.902
204,17.902
205,17.902
206,17.902
207,17.902
208,17.902
209,17.902
210,17.902
211,17.902
212,17.902
213,17.902
214,17.902
215,17.902
216,17.902
217,17.805
218,17.805
219,17.805
220,17.805
221,17.805
222,17.805
223,17.805
224,17.805
225,17.805
226,17.805
227,17.805
228,17.805
229,17.805
230,17.805
231,17.805
232,17.805
233,17.805
234,17.805
235,17.805
236,17.805
237,17.805
238,17.805
239,17.805
240,17.805
241,17.805
242,17.805
243,17.805
244,17.805
245,17.805
246,17.805
247,17.805
248,17.805
249,17.805
250,17.805
251,17.805
252,17.805
253,17.805
254,17.805
255,17.805
256,17.805
257,17.805
258,17.805
259,17.805
260,17.805
261,17.805
262,17.805
263,17.805
264,17.805
265,17.805
266,17.805
267,17.805
268,17.805
269,17.805
270,17.805
271,17.805
272,17.805
273,17.805
274,17.805
275,17.805
276,17.805
277,17.805
278,17.805
279,17.805
280,17.805
281,17.805
282,17.805
283,17.805
284,17.805
285,17.805
286,17.805
287,17.805
288,17.805
289,17.805
290,17.805
291,17.805
292,17.805
293,17.805
294,17.805
295,17.805
296,17.805
297,17.805
298,17.805
299,17.805
300,17.805
301,17.805
302,17.805
303,17.805
304,17.805
305,17.805
306,17.805
307,17.805
308,17.805
309,17.805
310,17.805
311,17.805
312,17.805
313,17.805
314,17.805
315,17.805
316,17.805
317,17.805
318,17.805
319,17.805
320,17.805
321,17.805
322,17.805
323,17.805
324,17.805
325,17.805
326,17.805
327,17.805
328,17.805
329,17.805
330,17.805
331,17.805
332,17.805
333,17.805
334,17.805
335,17.805
336,17.805
337,17.805
338,17.805
339,17.805
340,17.805
341,17.805
342,17.805
343,17.805
344,17.805
345,17.805
346,17.805
347,17.805
348,17.805
349,17.805
350,17.805
351,17.805
352,17.805
353,17.805
354,17.805
355,17.805
356,17.805
357,17.805
358,17.805
359,17.805
360,17.805
361,17.805
362,17.805
363,17.805
364,17.805
365,17.805
366,17.805
367,17.805
368,17.805
369,17.805
370,17.805
371,17.805
372,17.805
373,17.805
374,17.805
375,17.805
376,17.805
377,17.805
378,17.805
379,17.805
380,17.805
381,17.805
382,17.805
383,17.805
384,17.805
385,17.481
386,17.481
387,17.481
388,17.481
389,17.481
390,17.481
391,17.481
392,17.481
393,17.481
394,17.481
395,17.481
396,17.481
