t,value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.00028273330151810396
10,0.37184038292498656
11,1.0243269531577077
12,0.7157523968715332
13,0.03026692895641504
14,0.0
15,0.06086325211794824
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.010184402440050712
34,0.05982861997176601
35,0.09069513446127687
36,0.12896697560330167
37,0.09504564553093367
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.019776932293994836
58,0.22481994266417568
59,1.109250153511758
60,0.46106902219351936
61,0.0
62,0.0
63,0.03270590390959798
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.023420069915996197
82,0.2699256773736686
83,0.6018936166048389
84,0.4381416526105597
85,0.6664406075172032
86,0.2553600680150143
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.015176347816166502
106,0.10103564429775624
107,0.10216791703071981
108,0.08815525079574851
109,0.04389806635433769
110,0.019085864973383698
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.000981318345092557
129,0.020281112351397266
130,0.09828537621517877
131,0.12936146274629148
132,0.21374369927479206
133,0.15658470426926596
134,0.03755309915436139
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.008436067412810796
154,0.16105858109949342
155,0.23099629831025897
156,0.005969380810157519
157,0.39351316330647723
158,0.007663209708288024
159,0.0
160,0.013445819358818466
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.03584569896439705
178,0.3024942255408978
179,0.2026757732646305
180,0.5467063560675397
181,0.6650208247009353
182,0.5664787755576116
183,0.011865815613958056
184,0.0
185,0.007533858211986391
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.04291978649180462
202,0.15348469985288055
203,0.10097811952649484
