t,value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0002548868716609
10,0.3352177881136935
11,0.9234408937558466
12,0.6452578749757606
13,0.0272859362341248
14,0.0
15,0.0548688246066607
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0091813396714961
34,0.0539360934793251
35,0.081762562010153
36,0.1162650058645536
37,0.0856845908292463
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0178291003443933
58,0.2026774050491872
59,1.0
60,0.4156582901826319
61,0.0
62,0.0
63,0.0294846963113368
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0211134249942187
82,0.2433406716412118
83,0.5426130568468376
84,0.3949890394186142
85,0.6008028084623916
86,0.2302096305387687
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.013681627870972
106,0.091084634045701
107,0.0921053891291048
108,0.0794728317293075
109,0.0395745416084563
110,0.0172060963101605
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0008846682076047
129,0.0182836236598116
130,0.0886052401291255
131,0.1166206399311714
132,0.1926920619285957
133,0.141162661797735
134,0.0338544908337155
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0076051983279904
154,0.1451959060718635
155,0.2082454508380741
156,0.0053814559243099
157,0.3547560142864618
158,0.0069084594525654
159,0.0
160,0.0121215393265896
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
