t,value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.00040390471645443426
10,0.5312005470356951
11,1.4633242187967255
12,1.0225034241021904
13,0.04323846993773577
14,0.0
15,0.08694750302564035
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.01454914634292959
34,0.08546945710252288
35,0.12956447780182412
36,0.18423853657614525
37,0.13577949361561953
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.028252760419992622
58,0.32117134666310815
59,1.5846430764453687
60,0.6586700317050277
61,0.0
62,0.0
63,0.04672271987085426
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.033457242737137426
82,0.38560811053381233
83,0.8598480237211984
84,0.6259166465865139
85,0.9520580107388619
86,0.36480009716430617
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.021680496880237862
106,0.14433663471108035
107,0.1459541671867426
108,0.12593607256535502
109,0.06271152336333956
110,0.027265521390548143
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0014018833501322245
129,0.028973017644853237
130,0.14040768030739825
131,0.18480208963755926
132,0.3053481418211315
133,0.22369243467037994
134,0.05364728450623056
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.012051524875443996
154,0.23008368728499062
155,0.3299947118717986
156,0.0085276868716536
157,0.562161661866396
158,0.010947442440411464
159,0.0
160,0.019208313369740666
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
