,power_price,gas_price,bhkw_bin,storage_bin,bhkw_gas,bhkw_power,bhkw_heat,plant_supply_power,storage_power,storage_energy
1,106.25,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
2,104.78,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
3,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
5,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
6,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,104.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,104.77,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
9,133.09,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,1.0
10,133.09,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
11,133.09,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
12,133.09,70.037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
13,131.77,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
14,131.77,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
15,133.44,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,4.0
16,166.67,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
17,179.84,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
18,223.25,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
19,223.25,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
20,205.69,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
21,141.58,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
22,133.97,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
23,131.27,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
24,123.02,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
25,-2.12,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
26,-2.19,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
27,-2.19,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
28,-2.19,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
29,-2.19,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
30,0.0,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
31,0.0,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
32,71.52,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
33,102.97,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
34,102.97,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
35,76.19,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
36,76.19,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
37,76.19,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
38,76.19,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
39,151.0,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
40,159.86,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,5.0
41,177.27,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
42,182.39,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
43,182.39,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
44,182.39,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
45,143.58,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
46,134.69,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
47,130.7,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
48,119.3,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
49,106.25,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
50,106.25,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
51,106.25,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
52,106.25,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
53,106.25,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
54,114.92,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
55,130.7,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
56,161.92,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
57,227.65,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
58,248.93,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
