snapshots,Netzverkauf,Einkauf_Gas
01.01.2024 00:00,114.12,70.037
01.01.2024 01:00,113.79,70.037
01.01.2024 02:00,113.79,70.037
01.01.2024 03:00,111.79,70.037
01.01.2024 04:00,111.78,70.037
01.01.2024 05:00,111.78,70.037
01.01.2024 06:00,111.78,70.037
01.01.2024 07:00,111.78,70.037
01.01.2024 08:00,151.32,70.037
01.01.2024 09:00,151.32,70.037
01.01.2024 10:00,148.86,70.037
01.01.2024 11:00,148.86,70.037
01.01.2024 12:00,148.86,70.037
01.01.2024 13:00,148.86,70.037
01.01.2024 14:00,151.32,70.037
01.01.2024 15:00,174.05,70.037
01.01.2024 16:00,208.02,70.037
01.01.2024 17:00,208.02,70.037
01.01.2024 18:00,208.02,70.037
01.01.2024 19:00,208.02,70.037
01.01.2024 20:00,147.22,70.037
01.01.2024 21:00,133.32,70.037
01.01.2024 22:00,127.89,70.037
01.01.2024 23:00,124.92,70.037
02.01.2024 00:00,44.46,70.037
02.01.2024 01:00,40.67,70.037
02.01.2024 02:00,40.66,70.037
02.01.2024 03:00,40.66,70.037
02.01.2024 04:00,40.67,70.037
02.01.2024 05:00,44.46,70.037
02.01.2024 06:00,44.46,70.037
02.01.2024 07:00,81.98,70.037
02.01.2024 08:00,110.98,70.037
02.01.2024 09:00,110.98,70.037
02.01.2024 10:00,82.13,70.037
02.01.2024 11:00,82.13,70.037
02.01.2024 12:00,82.13,70.037
02.01.2024 13:00,82.13,70.037
02.01.2024 14:00,159.31,70.037
02.01.2024 15:00,166.53,70.037
02.01.2024 16:00,183.38,70.037
02.01.2024 17:00,199.29,70.037
02.01.2024 18:00,199.29,70.037
02.01.2024 19:00,199.29,70.037
02.01.2024 20:00,135.45,70.037
02.01.2024 21:00,127.22,70.037
02.01.2024 22:00,122.43,70.037
02.01.2024 23:00,113.79,70.037
03.01.2024 00:00,112.77,70.037
03.01.2024 01:00,112.77,70.037
03.01.2024 02:00,112.77,70.037
03.01.2024 03:00,112.77,70.037
03.01.2024 04:00,112.77,70.037
03.01.2024 05:00,117.0,70.037
03.01.2024 06:00,128.42,70.037
03.01.2024 07:00,147.22,70.037
03.01.2024 08:00,232.55,70.037
03.01.2024 09:00,239.71,70.037
03.01.2024 10:00,250.02,70.037
03.01.2024 11:00,235.66,70.037
03.01.2024 12:00,214.69,70.037
03.01.2024 13:00,216.88,70.037
03.01.2024 14:00,242.28,70.037
03.01.2024 15:00,252.27,70.037
03.01.2024 16:00,265.72,70.037
03.01.2024 17:00,271.12,70.037
03.01.2024 18:00,271.12,70.037
03.01.2024 19:00,271.12,70.037
03.01.2024 20:00,196.29,70.037
03.01.2024 21:00,194.33,70.037
03.01.2024 22:00,185.58,70.037
03.01.2024 23:00,176.97,70.037
04.01.2024 00:00,147.22,70.037
04.01.2024 01:00,147.22,70.037
04.01.2024 02:00,147.22,70.037
04.01.2024 03:00,147.22,70.037
04.01.2024 04:00,147.22,70.037
04.01.2024 05:00,147.22,70.037
04.01.2024 06:00,179.57,70.037
04.01.2024 07:00,196.29,70.037
04.01.2024 08:00,265.72,70.037
04.01.2024 09:00,265.72,70.037
04.01.2024 10:00,200.69,70.037
04.01.2024 11:00,196.63,70.037
04.01.2024 12:00,196.63,70.037
04.01.2024 13:00,196.63,70.037
04.01.2024 14:00,226.74,70.037
04.01.2024 15:00,257.82,70.037
04.01.2024 16:00,265.72,70.037
04.01.2024 17:00,265.72,70.037
04.01.2024 18:00,265.72,70.037
04.01.2024 19:00,265.72,70.037
04.01.2024 20:00,196.29,70.037
04.01.2024 21:00,179.57,70.037
04.01.2024 22:00,176.97,70.037
04.01.2024 23:00,160.99,70.037
05.01.2024 00:00,142.59,70.037
05.01.2024 01:00,131.54,70.037
05.01.2024 02:00,131.54,70.037
05.01.2024 03:00,131.54,70.037
05.01.2024 04:00,131.54,70.037
05.01.2024 05:00,131.54,70.037
05.01.2024 06:00,131.54,70.037
05.01.2024 07:00,161.76,70.037
05.01.2024 08:00,218.98,70.037
05.01.2024 09:00,178.06,70.037
05.01.2024 10:00,178.06,70.037
05.01.2024 11:00,177.16,70.037
05.01.2024 12:00,177.16,70.037
05.01.2024 13:00,178.06,70.037
05.01.2024 14:00,179.2,70.037
05.01.2024 15:00,240.62,70.037
05.01.2024 16:00,255.25,70.037
05.01.2024 17:00,255.25,70.037
05.01.2024 18:00,243.08,70.037
05.01.2024 19:00,240.62,70.037
05.01.2024 20:00,175.38,70.037
05.01.2024 21:00,147.22,70.037
05.01.2024 22:00,147.22,70.037
05.01.2024 23:00,135.45,70.037
06.01.2024 00:00,127.22,70.037
06.01.2024 01:00,119.14,70.037
06.01.2024 02:00,113.79,70.037
06.01.2024 03:00,113.79,70.037
06.01.2024 04:00,113.79,70.037
06.01.2024 05:00,113.54,70.037
06.01.2024 06:00,113.52,70.037
06.01.2024 07:00,113.79,70.037
06.01.2024 08:00,119.14,70.037
06.01.2024 09:00,113.79,70.037
06.01.2024 10:00,113.52,70.037
06.01.2024 11:00,113.52,70.037
06.01.2024 12:00,113.52,70.037
06.01.2024 13:00,113.52,70.037
06.01.2024 14:00,119.14,70.037
06.01.2024 15:00,147.22,70.037
06.01.2024 16:00,153.4,70.037
06.01.2024 17:00,153.4,70.037
06.01.2024 18:00,153.4,70.037
06.01.2024 19:00,147.22,70.037
06.01.2024 20:00,133.18,70.037
06.01.2024 21:00,125.27,70.037
06.01.2024 22:00,127.15,70.037
06.01.2024 23:00,124.78,70.037
07.01.2024 00:00,114.12,70.037
07.01.2024 01:00,113.79,70.037
07.01.2024 02:00,113.79,70.037
07.01.2024 03:00,111.79,70.037
07.01.2024 04:00,111.78,70.037
07.01.2024 05:00,111.78,70.037
07.01.2024 06:00,111.78,70.037
07.01.2024 07:00,111.78,70.037
07.01.2024 08:00,111.78,70.037
07.01.2024 09:00,111.78,70.037
07.01.2024 10:00,109.96,70.037
07.01.2024 11:00,109.96,70.037
07.01.2024 12:00,109.96,70.037
07.01.2024 13:00,109.96,70.037
07.01.2024 14:00,111.78,70.037
07.01.2024 15:00,128.57,70.037
07.01.2024 16:00,153.67,70.037
07.01.2024 17:00,153.67,70.037
07.01.2024 18:00,153.67,70.037
07.01.2024 19:00,153.67,70.037
07.01.2024 20:00,147.22,70.037
07.01.2024 21:00,133.32,70.037
07.01.2024 22:00,127.89,70.037
07.01.2024 23:00,124.92,70.037
08.01.2024 00:00,113.82,67.124
08.01.2024 01:00,113.71,67.124
08.01.2024 02:00,113.71,67.124
08.01.2024 03:00,113.71,67.124
08.01.2024 04:00,113.71,67.124
08.01.2024 05:00,113.71,67.124
08.01.2024 06:00,132.45,67.124
08.01.2024 07:00,162.95,67.124
08.01.2024 08:00,232.39,67.124
08.01.2024 09:00,235.31,67.124
08.01.2024 10:00,235.29,67.124
08.01.2024 11:00,235.29,67.124
08.01.2024 12:00,235.29,67.124
08.01.2024 13:00,247.63,67.124
08.01.2024 14:00,249.52,67.124
08.01.2024 15:00,249.52,67.124
08.01.2024 16:00,249.52,67.124
08.01.2024 17:00,249.52,67.124
08.01.2024 18:00,249.52,67.124
08.01.2024 19:00,249.52,67.124
08.01.2024 20:00,177.35,67.124
08.01.2024 21:00,171.26,67.124
08.01.2024 22:00,164.8,67.124
08.01.2024 23:00,143.82,67.124
09.01.2024 00:00,136.4,67.124
09.01.2024 01:00,136.4,67.124
09.01.2024 02:00,136.4,67.124
09.01.2024 03:00,136.4,67.124
