t  , gas_price, power_price, heat_demand       , local_heat_demand , solar_thermal_heat_profile, normalized_solar_thermal_heat_profile, heatpump_s1.delta_T_min, heatpump_s1.R, heatpump_s1.k, heatpump_s1.T_q, heatpump_s1.T_k, heatpump_s1.p1, heatpump_s1.p2, heatpump_s1.p3, heatpump_s1.p4, heatpump_s1.T1, heatpump_s1.T2, heatpump_s1.T3, heatpump_s1.T4, heatpump_s1.h1, heatpump_s1.h2, heatpump_s1.h3, heatpump_s1.h4, heatpump_s1.max_volume_flow_compressor, heatpump_s1.electrical_efficiency_compressor, heatpump_s1.n, heatpump_s1.z, heatpump_s2.delta_T_min, heatpump_s2.R, heatpump_s2.k, heatpump_s2.T_q, heatpump_s2.T_k, heatpump_s2.p1   , heatpump_s2.p2, heatpump_s2.p3, heatpump_s2.p4   , heatpump_s2.T1, heatpump_s2.T2, heatpump_s2.T3, heatpump_s2.T4, heatpump_s2.h1, heatpump_s2.h2, heatpump_s2.h3, heatpump_s2.h4, heatpump_s2.max_volume_flow_compressor, heatpump_s2.electrical_efficiency_compressor, heatpump_s2.n, heatpump_s2.z, chp_1.bin, chp_1.gas         , chp_1.power      , chp_1.heat       , chp_1.co2        , chp_1.waste_heat , chp_1.natural_gas , chp_1.hydrogen, chp_2.bin, chp_2.gas, chp_2.power, chp_2.heat, chp_2.co2, chp_2.waste_heat, chp_2.natural_gas, chp_2.hydrogen, electrical_grid.power_balance, electrical_grid.power_supply, electrical_grid.power_feedin, hydrogen_grid.hydrogen_supply, waste_heat_grid.heat_balance, waste_heat_grid.heat_supply, waste_heat_grid.heat_feedin, local_heat_grid.heat_balance, local_heat_grid.heat_feedin, local_heat_grid.district_heat_feedin, ngas_grid.ngas_supply, heat_grid.heat_balance, heat_grid.heat_feedin, heat_grid.heat_supply, heat_grid.excess_heat_feedin, heat_grid.heat_grid_to_local, battery_storage.power_balance, battery_storage.power_charging, battery_storage.power_discharging, battery_storage.power_content, battery_storage.bin_discharge, battery_storage.bin_charge, battery_storage.bin_switch, heat_storage.heat_balance, heat_storage.heat_charging, heat_storage.heat_discharging, heat_storage.heat_content, heat_storage.bin_charge, heat_storage.bin_discharge, pv.power            , solar_thermal.bin, solar_thermal.heat   , heatpump_s1.power  , heatpump_s1.heat_input, heatpump_s1.heat  , heatpump_s1.capacity_compressor, heatpump_s1.volume_flow, heatpump_s1.massflow_refigerant, heatpump_s1.swept_volume, heatpump_s2.power , heatpump_s2.heat_input, heatpump_s2.heat  , heatpump_s2.capacity_compressor, heatpump_s2.volume_flow, heatpump_s2.massflow_refigerant, heatpump_s2.swept_volume, local_heat_storage.heat_balance, local_heat_storage.heat_charging, local_heat_storage.heat_discharging, local_heat_storage.excess_heat_discharging, local_heat_storage.heat_content, local_heat_storage.bin_charge, local_heat_storage.bin_discharge, geo_heat_storage.heat_balance, geo_heat_storage.heat_charging, geo_heat_storage.heat_discharging, geo_heat_storage.heat_content, geo_heat_storage.bin_charge, geo_heat_storage.bin_discharge, heatpump_s1.ideal_cop, heatpump_s1.d     , heatpump_s1.real_cop, heatpump_s2.ideal_cop, heatpump_s2.d     , heatpump_s2.real_cop
  1,    70.037,      114.12,  96.554           , 1.3225777158149064,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       1.0,   156.328,      62.424,       82.0,    31.524,              1.9,           156.328,            0.0, -123.66292109038737          ,           1.1850789096126257,           124.848           ,                           0.0,                          0.0,          3.8               ,          3.8               ,                          0.0,          1.3225777158149064,                   0.0               ,    312.656           ,                    0.0,    164.0             ,    67.446            ,          0.0                ,           0.0               , 0.0                          ,                            0.0,                               0.0,                           0.0,                           1.0,                        0.0,                        0.0, -67.446                  ,         67.446            ,             0.0              ,       67.446             ,                     1.0,                        0.0, 0.0                 ,               0.0, 0.0                  , 0.0                ,     0.0               , 0.0               ,                0.0             ,    0.0                 ,              0.0               ,     0.0                 , 1.1850789096126257,     2.95              , 3.13388688292683  ,             1007.3170731707319 ,    0.06200686746987951 ,              3.5975609756097566,    0.014881648192771081 , -1.8113091671119235            ,             3.13388688292683    ,                  1.3225777158149064,                        0.0                ,             1.8113091671119235 ,                           1.0,                              1.0, -0.85                        ,             0.85              ,               0.0                ,            0.85              ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  2,    70.037,      113.79,  97.699           , 1.3748408683440645,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       1.0,   156.328,      62.424,       82.0,    31.524,              1.9,           156.328,            0.0, -123.66292109038737          ,           1.1850789096126255,           124.848           ,                           0.0,                          0.0,          3.8               ,          3.8               ,                          0.0,          1.3748408683440645,                   0.0               ,    312.656           ,                    0.0,    164.0             ,    66.301            ,          0.0                ,           0.0               , 0.0                          ,                            0.0,                               0.0,                           0.0,                           1.0,                        0.0,                        0.0, -66.301                  ,         66.301            ,             0.0              ,      133.747             ,                     1.0,                        0.0, 0.0                 ,               0.0, 0.0                  , 0.0                ,     0.0               , 0.0               ,                0.0             ,    0.0                 ,              0.0               ,     0.0                 , 1.1850789096126255,     2.95              , 3.1338868829268294,             1007.3170731707318 ,    0.062006867469879504,              3.597560975609756 ,    0.014881648192771081 , -1.7590460145827649            ,             3.1338868829268294  ,                  1.3748408683440645,                        0.0                ,             3.5703551816946884 ,                           1.0,                              1.0, -0.85                        ,             0.85              ,               0.0                ,            1.7               ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  3,    70.037,      113.79,  95.31750000000001, 1.3690296776543576,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       1.0,   156.328,      62.424,       82.0,    31.524,              1.9,           156.328,            0.0, -123.66292109038737          ,           1.1850789096126255,           124.848           ,                           0.0,                          0.0,          3.8               ,          3.8               ,                          0.0,          0.0               ,                   1.3690296776543576,    312.656           ,                    0.0,    164.0             ,    67.31347032234564 ,          0.0                ,           1.3690296776543576, 0.0                          ,                            0.0,                               0.0,                           0.0,                           1.0,                        0.0,                        0.0, -67.31347032234564       ,         67.31347032234564 ,             0.0              ,      201.06047032234565  ,                     1.0,                        0.0, 0.0                 ,               0.0, 0.0                  , 0.0                ,     0.0               , 0.0               ,                0.0             ,    0.0                 ,              0.0               ,     0.0                 , 1.1850789096126255,     2.95              , 3.1338868829268294,             1007.3170731707318 ,    0.062006867469879504,              3.597560975609756 ,    0.014881648192771081 , -3.1338868829268294            ,             3.1338868829268294  ,                  0.0               ,                        0.0                ,             6.704242064621518  ,                           1.0,                              1.0, -0.85                        ,             0.85              ,               0.0                ,            2.55              ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  4,    70.037,      111.79,  95.744           , 1.4204523757312997,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       1.0,   156.328,      62.424,       82.0,    31.524,              1.9,           156.328,            0.0, -123.65293461575399          ,           1.1950653842460033,           124.848           ,                           0.0,                          0.0,          3.8               ,          3.8               ,                          0.0,          1.4204523757312997,                   0.0               ,    312.656           ,                    0.0,    164.0             ,    68.256            ,          0.0                ,           0.0               , 0.0                          ,                            0.0,                               0.0,                           0.0,                           1.0,                        0.0,                        0.0, -68.256                  ,         68.256            ,             0.0              ,      269.31647032234565  ,                     1.0,                        0.0, 0.0                 ,               0.0, 0.0                  , 0.0                ,     0.0               , 0.0               ,                0.0             ,    0.0                 ,              0.0               ,     0.0                 , 1.1950653842460033,     2.9748591886409437, 3.1602956575715946,             1015.8055766091028 ,    0.06252938964461432 ,              3.6278770593182244,    0.015007053514707437 , -1.7398432818402938            ,             3.1602956575715946  ,                  1.4204523757312997,                        0.0                ,             8.444085346461812  ,                           1.0,                              1.0, -0.8251408113590561          ,             0.8251408113590561,               0.0                ,            3.375140811359056 ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  5,    70.037,      111.78,  94.039           , 1.4651911424090494,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       0.0,   0.0             ,  0.0             ,  0.0             ,  0.0             , 0.0              ,   0.0             ,            0.0,       0.0,     0.0  ,       0.0  ,        0.0,     0.0  ,              0.0,             0.0  ,            0.0, 0.7799095860331948           ,           0.7799095860331948,             0.0             ,                           0.0,                          0.0,          1.2888865842894968,          1.2888865842894968,                          0.0,          1.4651911424090494,                   0.0               ,      0.0             ,                    0.0,     94.039           ,     0.0              ,          0.0                ,           0.0               , 0.0                          ,                            0.0,                               0.0,                           0.0,                           1.0,                        0.0,                        0.0, 94.039                   ,          0.0              ,            94.039            ,      175.27747032234566  ,                     0.0,                        1.0, 0.0                 ,               0.0, 0.0                  , 0.2621359223300971 ,     0.85              , 1.2888865842894968,              222.8155339805825 ,    0.035325119741100315,              0.8252427184466018,     0.008478028737864076, 0.5177736637030977,     1.2888865842894968, 1.3692287322322778,              440.1076141476331 ,    0.027091464276523564,              1.5718129076701182,    0.006501951426365655 , 0.09596241017677087            ,             1.3692287322322778  ,                  1.4651911424090494,                        0.0                ,             8.34812293628504   ,                           1.0,                              1.0, 0.85                         ,             0.0               ,               0.85               ,            2.525140811359056 ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  6,    70.037,      111.78,  94.843           , 1.794257431193237 ,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       0.0,     0.0  ,       0.0  ,        0.0,     0.0  ,              0.0,             0.0  ,            0.0, -56.88081925184342           ,           5.543180748156581 ,            62.424           ,                           0.0,                          0.0,          3.1888865842894965,          3.1888865842894965,                          0.0,          1.794257431193237 ,                   0.0               ,    156.328           ,                    0.0,     90.74902368016447,     0.0              ,          4.093976319835534  ,           0.0               , -4.0                         ,                            4.0,                               0.0,                           4.0,                           0.0,                        1.0,                        1.0, 8.74902368016447         ,          0.0              ,             8.74902368016447 ,      166.5284466421812   ,                     0.0,                        1.0, 0.0                 ,               0.0, 0.0                  , 0.2621359223300971 ,     0.85              , 1.2888865842894968,              222.8155339805825 ,    0.035325119741100315,              0.8252427184466018,     0.008478028737864076, 1.2810448258264835,     3.1888865842894965, 3.3876643517444727,             1088.888101952511  ,    0.06702809078254765 ,              3.8888860784018253,    0.016086741787811436 , 2.5005693992842977             ,             3.3876643517444727  ,                  1.794257431193237 ,                        4.093976319835534  ,             5.847553537000743  ,                           1.0,                              1.0, 0.85                         ,             0.0               ,               0.85               ,            1.6751408113590556,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  7,    70.037,      111.78,  94.607           , 2.0578563910896768,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       0.0,     0.0  ,       0.0  ,        0.0,     0.0  ,              0.0,             0.0  ,            0.0, -58.90362856892822           ,           3.520371431071781 ,            62.424           ,                           0.0,                          0.0,          3.1511916728358083,          3.1511916728358083,                          0.0,          2.0578563910896768,                   0.0               ,    156.328           ,                    0.0,     94.607           ,     0.0              ,          0.0                ,           0.0               , -2.0                         ,                            2.0,                               0.0,                           6.0,                           0.0,                        1.0,                        0.0, 12.607                   ,          0.0              ,            12.607            ,      153.9214466421812   ,                     0.0,                        1.0, 0.0                 ,               0.0, 0.0                  , 0.25446946780918905,     0.8251408113590555, 1.2511916728358083,              216.29904763781067,    0.03429199760532624 ,              0.8011075838437433,     0.008230079425278296, 1.2659019632625916,     3.1511916728358083, 3.3476197454536925,             1076.016668773203  ,    0.0662357709931247  ,              3.8429166741900103,    0.01589658503834993  , -1.2897633543640152            ,             3.3476197454536925  ,                  2.0578563910896768,                        0.0                ,             7.137316891364758  ,                           1.0,                              1.0, 0.8251408113590556           ,             0.0               ,               0.8251408113590556 ,            0.85              ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  8,    70.037,      111.78,  96.8815          , 2.085524903864958 ,         0.0               ,                    0.0               ,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       0.0,   0.0             ,  0.0             ,  0.0             ,  0.0             , 0.0              ,   0.0             ,            0.0,       1.0,   156.328,      62.424,       82.0,    31.524,              1.9,           156.328,            0.0, -60.88081925184342           ,           1.5431807481565807,            62.424           ,                           0.0,                          0.0,          3.1888865842894965,          3.1888865842894965,                          0.0,          2.085524903864958 ,                   0.0               ,    156.328           ,                    0.0,     92.68550840630043,     0.0              ,          4.195991593699581  ,           0.0               , 0.0                          ,                            0.0,                               0.0,                           6.0,                           1.0,                        0.0,                        1.0, 10.685508406300421       ,          0.0              ,            10.685508406300421,      143.23593823588078  ,                     0.0,                        1.0, 0.0                 ,               0.0, 0.0                  , 0.2621359223300971 ,     0.85              , 1.2888865842894968,              222.8155339805825 ,    0.035325119741100315,              0.8252427184466018,     0.008478028737864076, 1.2810448258264835,     3.1888865842894965, 3.3876643517444727,             1088.888101952511  ,    0.06702809078254765 ,              3.8888860784018253,    0.016086741787811436 , 2.8938521458200652             ,             3.3876643517444727  ,                  2.085524903864958 ,                        4.195991593699581  ,             4.243464745544693  ,                           1.0,                              1.0, 0.85                         ,             0.0               ,               0.85               ,            0.0               ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
  9,    70.037,      151.32, 104.853           , 2.5295032837296487,         0.0002548868716609,                    0.0002548868716609,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       1.0,   156.328,      62.424,       82.0,    31.524,              1.9,           156.328,            0.0, -127.86088109038738          ,           1.1850789096126257,           129.04596         ,                           0.0,                          0.0,          3.8               ,          3.8               ,                          0.0,          2.5295032837296487,                   0.0               ,    312.656           ,                    0.0,    164.0             ,    59.147000000000006,          0.0                ,           0.0               , 4.0                          ,                            0.0,                               4.0,                           2.0,                           1.0,                        0.0,                        0.0, -59.147000000000006      ,         59.147000000000006,             0.0              ,      202.38293823588077  ,                     1.0,                        0.0, 0.19796             ,               1.0, 0.0018810651128574418, 0.0                ,     0.0               , 0.0               ,                0.0             ,    0.0                 ,              0.0               ,     0.0                 , 1.1850789096126257,     2.95              , 3.13388688292683  ,             1007.3170731707319 ,    0.06200686746987951 ,              3.597560975609756 ,    0.014881648192771081 , -0.6062646643100384            ,             3.135767948039687   ,                  2.5295032837296487,                        0.0                ,             4.849729409854731  ,                           1.0,                              1.0, -0.85                        ,             0.85              ,               0.0                ,            0.85              ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
 10,    70.037,      151.32, 111.2905          , 2.549405857771298 ,         0.3352177881136935,                    0.3352177881136935,                      10,           488,          1.31,          273.15,          308.15,        3000000,       17000000,       17000000,        3000000,         263.15,         398.15,         318.15,         263.15,           1450,           1720,            420,            420,                    0.15666666666666668,                                         0.85,          25.0,             6,                      10,           488,          1.31,          303.15,          353.15, 8300000.000000001,       52000000,       52000000, 8300000.000000001,         293.15,         443.15,         363.15,         293.15,           1480,           1760,            660,            660,                    0.15666666666666668,                                         0.85,          25.0,             6,       1.0, 156.328           , 62.424           , 82.0             , 31.524           , 1.9              , 156.328           ,            0.0,       1.0,   156.328,      62.424,       82.0,    31.524,              1.9,           156.328,            0.0, -126.16076109038738          ,           1.1850789096126253,           127.34584000000001,                           0.0,                          0.0,          3.8               ,          3.8               ,                          0.0,          2.549405857771298 ,                   0.0               ,    312.656           ,                    0.0,    164.0             ,    52.7095           ,          0.0                ,           0.0               , 2.0                          ,                            0.0,                               2.0,                           0.0,                           1.0,                        0.0,                        0.0, -52.7095                 ,         52.7095           ,             0.0              ,      255.09243823588076  ,                     1.0,                        0.0, 0.49784             ,               1.0, 2.473907276279058    , 0.0                ,     0.0               , 0.0               ,                0.0             ,    0.0                 ,              0.0               ,     0.0                 , 1.1850789096126253,     2.95              , 3.133886882926829 ,             1007.3170731707315 ,    0.06200686746987948 ,              3.5975609756097553,    0.014881648192771076 , -3.05838830143459              ,             5.607794159205887   ,                  2.549405857771298 ,                        0.0                ,             7.9081177112893215 ,                           1.0,                              1.0, -0.85                        ,             0.85              ,               0.0                ,            1.7               ,                         1.0,                            1.0,     5.784545454545454, 0.6093386138613862,    3.524746909090909,     5.187857142857142, 0.5996931846344487,   3.1111225714285715
