t,gas_price,power_price,hydrogen_price,heat_demand,local_heat_demand,solar_thermal_heat_profile,normalized_solar_thermal_heat_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.max_volume_flow_compressor,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.max_volume_flow_compressor,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_supply,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_supply,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.heat_grid_to_local,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,local_heat_storage.heat_balance,local_heat_storage.heat_charging,local_heat_storage.heat_discharging,local_heat_storage.excess_heat_discharging,local_heat_storage.heat_content,local_heat_storage.bin_charge,local_heat_storage.bin_discharge,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,197.35023348238866,96.554,1.3225777158149064,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,15.762,1.9,78.164,78.164,1.0,156.328,62.424,82.0,15.762,1.9,78.164,78.164,-122.88301150435417,1.9649884956458203,124.848,156.328,0.0,5.088886584289496,5.088886584289496,0.0,1.3225777158149064,0.0,156.328,0.0,164.0,67.446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-67.446,67.446,0.0,67.446,1.0,0.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.7028525733157232,4.238886584289497,4.503115615159107,1447.4246873183647,0.08909833174640307,5.169373883279874,0.021383599619136735,-3.180537899344201,4.503115615159107,1.3225777158149064,0.0,3.180537899344201,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
2,70.037,113.79,197.35023348238866,97.699,1.3748408683440645,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,1.0,77.76421196656267,20.355200355377264,47.06712070967181,7.858328772850441,1.6425094892604803,38.882105983281335,38.882105983281335,-32.0241678755235,1.7410324798537609,33.76520035537726,71.27910598328134,0.0,4.531396073549978,4.531396073549978,0.0,1.3748408683440645,0.0,71.27910598328134,0.0,97.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.331879290328189,0.0,9.331879290328189,58.11412070967181,0.0,1.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.478896557523664,3.6813960735499776,3.910874191781901,1257.0620738951145,0.07738028421584686,4.489507406768266,0.018571268211803247,-2.536033323437837,3.910874191781901,1.3748408683440645,0.0,5.716571222782038,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
3,70.037,113.79,197.35023348238866,95.31750000000001,1.3690296776543576,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,93.39556375921379,28.725369656019673,54.01750000000001,9.430873433660937,1.6937407862407865,46.69778187960689,46.69778187960689,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,-40.37375645428,1.7616132017396802,42.13536965601968,79.0947818796069,0.0,4.582627370530283,4.582627370530283,0.0,1.3690296776543576,0.0,79.0947818796069,0.0,95.31750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.11412070967181,0.0,1.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.499477279409583,3.7326273705302833,3.9652989679181414,1274.5556874981455,0.07845712904370038,4.551984598207663,0.01882971097048809,-2.596269290263784,3.9652989679181414,1.3690296776543576,0.0,8.312840513045822,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
4,70.037,111.79,197.35023348238866,95.744,1.4204523757312997,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,-25.096044502919458,1.7239554970805409,26.82,64.794,0.0,4.488886584289497,4.488886584289497,0.0,1.4204523757312997,0.0,64.794,0.0,91.54800840630041,0.0,4.195991593699581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.948008406300431,0.0,8.948008406300431,49.16611230337138,0.0,1.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.4618195747504437,3.638886584289497,3.865714893207888,1242.5466385378772,0.07648676548134284,4.437666566206704,0.01835682371552228,1.7507290762229974,3.865714893207888,1.4204523757312997,4.195991593699581,6.562111436822825,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
5,70.037,111.78,197.35023348238866,94.039,1.4651911424090494,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,-25.096044502919458,1.7239554970805409,26.82,64.794,0.0,4.488886584289497,4.488886584289497,0.0,1.4651911424090494,0.0,64.794,0.0,89.84300840630041,0.0,4.195991593699581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.24300840630044,0.0,7.24300840630044,41.92310389707094,0.0,1.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.4618195747504437,3.638886584289497,3.865714893207888,1242.5466385378772,0.07648676548134284,4.437666566206704,0.01835682371552228,1.7954678429007416,3.865714893207888,1.4651911424090494,4.195991593699581,4.766643593922083,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
6,70.037,111.78,197.35023348238866,94.843,1.794257431193237,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,-21.09604450291946,5.72395549708054,26.82,64.794,0.0,4.488886584289497,4.488886584289497,0.0,1.794257431193237,0.0,64.794,0.0,90.64700840630043,0.0,4.195991593699581,0.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,8.047008406300428,0.0,8.047008406300428,33.87609549077051,0.0,1.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.4618195747504437,3.638886584289497,3.865714893207888,1242.5466385378772,0.07648676548134284,4.437666566206704,0.01835682371552228,2.1245341316849307,3.865714893207888,1.794257431193237,4.195991593699581,2.6421094622371526,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
7,70.037,111.78,197.35023348238866,94.607,2.0578563910896768,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,-23.096044502919458,3.723955497080541,26.82,64.794,0.0,4.488886584289497,4.488886584289497,0.0,2.0578563910896768,0.0,64.794,0.0,90.41100840630043,0.0,4.195991593699581,0.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,7.811008406300424,0.0,7.811008406300424,26.065087084470086,0.0,1.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.4618195747504437,3.638886584289497,3.865714893207888,1242.5466385378772,0.07648676548134284,4.437666566206704,0.01835682371552228,2.3881330915813703,3.865714893207888,2.0578563910896768,4.195991593699581,0.25397637065578227,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
8,70.037,111.78,197.35023348238866,96.8815,2.085524903864958,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,1.0,64.794,13.41,41.3,6.5535,1.6,32.397,32.397,-25.096044502919458,1.7239554970805409,26.82,64.794,0.0,4.488886584289497,4.488886584289497,0.0,2.085524903864958,0.0,64.794,0.0,94.8473336400013,0.0,2.0341663599987125,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,12.247333640001308,0.0,12.247333640001308,13.817753444468778,0.0,1.0,0.0,0.0,0.0,0.2621359223300971,0.85,1.2888865842894968,222.8155339805825,0.035325119741100315,0.8252427184466018,0.008478028737864076,1.4618195747504437,3.638886584289497,3.865714893207888,1242.5466385378772,0.07648676548134284,4.437666566206704,0.01835682371552228,0.25397637065578227,3.865714893207888,2.085524903864958,2.0341663599987125,0.0,1.0,1.0,0.0,0.85,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
9,70.037,151.32,197.35023348238866,104.853,2.5295032837296487,0.0002548868716609,0.0002548868716609,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,15.762,1.9,78.164,78.164,1.0,156.328,62.424,82.0,15.762,1.9,78.164,78.164,-127.86088109038738,1.1850789096126255,129.04596,156.328,0.0,3.8,3.8,0.0,2.5295032837296487,0.0,156.328,0.0,164.0,59.75326466431004,0.606264664310038,0.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,-59.75326466431004,59.75326466431004,0.0,73.57101810877882,1.0,0.0,0.19796,1.0,0.0018810651128574418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1850789096126255,2.95,3.1338868829268294,1007.3170731707318,0.062006867469879504,3.5975609756097557,0.014881648192771081,0.0,3.1357679480396867,2.5295032837296487,0.606264664310038,0.0,1.0,1.0,-0.85,0.85,0.0,0.85,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
10,70.037,151.32,197.35023348238866,111.2905,2.549405857771298,0.3352177881136935,0.3352177881136935,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,15.762,1.9,78.164,78.164,1.0,156.328,62.424,82.0,15.762,1.9,78.164,78.164,-126.16076109038738,1.1850789096126262,127.34584000000001,156.328,0.0,3.8,3.8,0.0,2.549405857771298,0.0,156.328,0.0,164.0,52.7095,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,-52.7095,52.7095,0.0,126.28051810877881,1.0,0.0,0.49784,1.0,2.473907276279058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1850789096126262,2.95,3.1338868829268307,1007.3170731707322,0.062006867469879524,3.597560975609758,0.014881648192771085,-3.0583883014345905,5.607794159205889,2.549405857771298,0.0,3.0583883014345905,1.0,1.0,-0.85,0.85,0.0,1.7,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
