t,gas_price,power_price,hydrogen_price,heat_demand,local_heat_demand,supply_temperature,return_temperature,solar_thermal_heat_profile,normalized_solar_thermal_heat_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.max_volume_flow_compressor,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.max_volume_flow_compressor,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_supply,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.heat_feedin,ngas_grid.ngas_supply,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.heat_grid_to_local,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,local_heat_storage.heat_balance,local_heat_storage.heat_charging,local_heat_storage.heat_discharging,local_heat_storage.excess_heat_discharging,local_heat_storage.heat_content,local_heat_storage.bin_charge,local_heat_storage.bin_discharge,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,stratified_storage.T_sto_1,stratified_storage.T_sto_2,stratified_storage.T_sto_3,stratified_storage.Q_dot_ST,stratified_storage.Q_dot_WP,stratified_storage.Q_dot_Hou,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop,stratified_storage.T_return,stratified_storage.T_supply,stratified_storage.m_dot_nw
1,70.037,114.12,197.35023348238866,96.554,1.3225777158149064,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17287443030017288,0.17287443030017288,0.0,0.0,0.0,0.85,0.85,0.0,1.3225777158149064,0.0,0.0,0.0,0.0,97.0,0.44599999999999795,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,0.2894386528599949,1.0,1.0,368.15,353.15,328.15,0.0,0.0,1.3225777158149064,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,12.834952844047809
2,70.037,113.79,197.35023348238866,97.699,1.3748408683440645,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728744303001775,0.1728744303001775,0.0,0.0,0.0,0.85,0.85,0.0,1.3748408683440645,0.0,0.0,0.0,0.0,98.0,0.30100000000000193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1728744303001775,0.5605613471400199,0.85,146.94326575515086,0.023296349070533774,0.5442343176116698,0.005591123776928106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.28943865285997994,0.85,0.56056134714002,0.5788773057199748,1.0,1.0,367.10166140674943,352.55101442066615,329.68661482568916,0.0,0.0,1.3748408683440645,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,13.342140505061522
3,70.037,113.79,197.35023348238866,95.31750000000001,1.3690296776543576,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17287443030017288,0.17287443030017288,0.0,0.0,0.0,0.85,0.85,0.0,1.3690296776543576,0.0,0.0,0.0,0.0,96.0,0.6824999999999903,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,0.8683159585799697,1.0,1.0,366.0939720609526,352.04815629051194,330.9931836958227,0.0,0.0,1.3690296776543576,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,13.285745816433186
4,70.037,111.79,197.35023348238866,95.744,1.4204523757312997,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17287443030017288,0.17287443030017288,0.0,0.0,0.0,0.85,0.85,0.0,1.4204523757312997,0.0,0.0,0.0,0.0,96.0,0.2560000000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.391983187399163,12.0,0.0,3.6080168126008374,8.391983187399163,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,1.1577546114399646,1.0,1.0,365.09006634107834,351.603561427173,332.14435340936586,0.0,0.0,1.4204523757312997,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,13.784777288866996
5,70.037,111.78,197.35023348238866,94.039,1.4651911424090494,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17287443030017288,0.17287443030017288,0.0,0.0,0.0,0.85,0.85,0.0,1.4651911424090494,0.0,0.0,0.0,0.0,95.0,0.9609999999999985,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.391983187399163,0.0,4.195991593699581,4.195991593699581,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,1.4471932642999596,1.0,1.0,364.10009536343404,351.20687688147063,333.1473044036251,0.0,0.0,1.4651911424090494,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,14.218944562172346
6,70.037,111.78,197.35023348238866,94.843,1.794257431193237,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.172874430300173,4.172874430300173,0.0,0.0,0.0,0.85,0.85,0.0,1.794257431193237,0.0,0.0,0.0,0.0,95.0,0.15699999999999648,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,1.7366319171599547,1.0,1.0,362.95586079183795,350.78662025520185,334.14783815852843,0.0,0.0,1.794257431193237,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,17.41236771501031
7,70.037,111.78,197.35023348238866,94.607,2.0578563910896768,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172874430300173,2.172874430300173,0.0,0.0,0.0,0.85,0.85,0.0,2.0578563910896768,0.0,0.0,0.0,0.0,95.0,0.3930000000000007,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,2.0260705700199497,1.0,1.0,361.72991507603217,350.3617769932851,335.0540869363078,0.0,0.0,2.0578563910896768,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,19.97046330331095
8,70.037,111.78,197.35023348238866,96.8815,2.085524903864958,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17287443030017288,0.17287443030017288,0.0,0.0,0.0,0.85,0.85,0.0,2.085524903864958,0.0,0.0,0.0,0.0,97.0,0.11849999999999739,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,2.3155092228799448,1.0,1.0,360.57119293890304,349.96896620370444,335.77254814195163,0.0,0.0,2.085524903864958,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,20.238972331165588
9,70.037,151.32,197.35023348238866,104.853,2.5295032837296487,80.0,55.0,0.0002548868716609,0.0002548868716609,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.025085569699828,0.17287443030017288,4.19796,0.0,0.0,0.85,0.85,0.0,2.5295032837296487,0.0,0.0,0.0,0.0,105.0,0.14700000000000557,4.0,0.0,4.0,2.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19796,1.0,0.0018810651128574418,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,2.60494787573994,1.0,1.0,359.28043132221444,349.5244188188696,336.4147699064008,0.0018810651128574418,0.0,2.5295032837296487,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,24.547559646073548
10,70.037,151.32,197.35023348238866,111.2905,2.549405857771298,80.0,55.0,0.3352177881136935,0.3352177881136935,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.324965569699827,0.17287443030017288,2.49784,0.0,0.0,0.85,0.85,0.0,2.549405857771298,0.0,0.0,0.0,0.0,112.0,0.7095000000000056,2.0,0.0,2.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49784,1.0,2.473907276279058,0.17287443030017288,0.5605613471400049,0.85,146.94326575514694,0.02329634907053315,0.5442343176116553,0.005591123776927956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2894386528599949,0.85,0.560561347140005,2.894386528599935,1.0,1.0,360.97532530274793,349.4020309337352,336.91265822484183,2.473907276279058,0.0,2.549405857771298,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715,328.15,353.15,24.740704136748974
