t,gas_price,power_price,hydrogen_price,heat_demand,local_heat_demand,supply_temperature,return_temperature,solar_thermal_heat_profile,normalized_solar_thermal_heat_profile,normalized_pv_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_supply,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_dissipation,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.Z1_heat_feedin,local_heat_grid.Z2_heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_supply,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.FW_to_NW,heat_grid.bin_excess_active,heat_grid.bin_FW_to_NW_active,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,stratified_storage.Q_dot_ST,stratified_storage.Q_dot_WP,stratified_storage.Q_dot_Z1_FW,stratified_storage.Q_dot_Z1_NW,stratified_storage.Q_dot_Z2_NW,stratified_storage.U_Z1,stratified_storage.U_Z2,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,197.35023348238866,96.554,1.3225777158149064,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-94.9941798941799,1.105820105820106,96.1,153.45,0.0,3.8,0.0,3.8,0.0,0.0,1.3225777158149064,0.0,153.45,0.0,115.976,19.421999999999997,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-19.421999999999997,19.421999999999997,0.0,19.421999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.105820105820106,3.8,5.940742063492065,0.9952380952380953,0.6582016190476191,4.523809523809524,0.1579683885714286,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.940742063492065,0.0,0.0,1.3225777158149064,0.0,4.618164347677159,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
2,70.037,113.79,197.35023348238866,97.699,1.3748408683440645,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-94.9941798941799,1.1058201058201063,96.1,153.45,0.0,3.8,0.0,3.8,0.0,0.0,1.3748408683440645,0.0,153.45,0.0,115.976,18.277,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-18.277,18.277,0.0,37.699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058201058201063,3.8,5.940742063492066,0.9952380952380953,0.6582016190476192,4.523809523809524,0.15796838857142861,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.940742063492066,0.0,0.0,1.3748408683440645,0.0,9.184065542825161,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
3,70.037,113.79,197.35023348238866,95.31750000000001,1.3690296776543576,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-94.9941798941799,1.1058201058201063,96.1,153.45,0.0,3.8,0.0,3.8,0.0,0.0,1.3690296776543576,0.0,153.45,0.0,115.976,20.65849999999999,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-20.65849999999999,20.65849999999999,0.0,58.35749999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058201058201063,3.8,5.940742063492066,0.9952380952380953,0.6582016190476192,4.523809523809524,0.15796838857142861,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.940742063492066,0.0,0.0,1.3690296776543576,0.0,13.75577792866287,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
4,70.037,111.79,197.35023348238866,95.744,1.4204523757312997,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-94.9941798941799,1.105820105820106,96.1,153.45,0.0,3.8,0.0,3.8,0.0,0.0,1.4204523757312997,0.0,153.45,0.0,115.976,20.232,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-20.232,20.232,0.0,78.58949999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.105820105820106,3.8,5.940742063492064,0.9952380952380953,0.658201619047619,4.523809523809524,0.15796838857142856,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.940742063492064,0.0,0.0,1.4204523757312997,0.0,18.276067616423635,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
5,70.037,111.78,197.35023348238866,94.039,1.4651911424090494,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,100.83926244455597,25.958514212826046,41.13481022247559,10.369998121522706,1.724336149911149,50.419631222277985,50.419631222277985,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-72.95381321682015,1.05470099600589,74.00851421282604,127.14463122227798,0.0,3.624336149911149,0.0,3.624336149911149,0.0,0.0,1.4651911424090494,0.0,127.14463122227798,0.0,99.1228102224756,5.0838102224755914,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-5.0838102224755914,5.0838102224755914,0.0,83.67331022247558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05470099600589,3.624336149911149,5.666117425792643,0.949230896405301,0.6277747162748243,4.314685892751368,0.1506659319059578,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.666117425792643,0.0,0.0,1.4651911424090494,0.0,22.476993899807226,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
6,70.037,111.78,197.35023348238866,94.843,1.794257431193237,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,63.601,10.322,29.205999999999996,6.553499999999998,1.6,31.8005,31.8005,-53.35348148148148,5.018518518518519,58.372,108.5255,0.0,3.5,0.0,3.5,0.0,0.0,1.794257431193237,0.0,108.5255,0.0,94.843,0.0,-0.0,0.0,0.0,1.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,7.649000000000008,0.0,7.649000000000008,76.02431022247556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0185185185185188,3.5,5.471736111111112,0.9166666666666666,0.6062383333333333,4.166666666666667,0.1454972,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.471736111111112,0.0,0.0,1.794257431193237,0.0,26.154472579725102,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
7,70.037,111.78,197.35023348238866,94.607,2.0578563910896768,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,86.74222149259954,20.039103189493435,36.619,8.925211851156973,1.6772670419011884,43.37111074629977,43.37111074629977,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-65.04809955296133,3.041003636532092,68.08910318949343,120.09611074629976,0.0,3.5772670419011883,0.0,3.5772670419011883,0.0,0.0,2.0578563910896768,0.0,120.09611074629976,0.0,94.607,0.0,-0.0,0.0,0.0,1.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,76.02431022247556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041003636532092,3.5772670419011883,5.592531786359531,0.9369032728788828,0.6196218312486972,4.2586512403585575,0.1487092394996873,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.592531786359531,0.0,0.0,2.0578563910896768,0.0,29.68914797499496,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
8,70.037,111.78,197.35023348238866,96.8815,2.085524903864958,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,93.84254636578419,23.020561601000633,38.8935,9.652914347508862,1.7009745674379821,46.921273182892094,46.921273182892094,-70.02265894910069,1.0479026518999421,71.07056160100063,123.64627318289209,0.0,3.6009745674379823,0.0,3.600974567437982,0.0,0.0,2.085524903864958,0.0,123.64627318289209,0.0,96.8815,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,0.0,0.0,0.0,76.02431022247556,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0479026518999421,3.6009745674379823,5.629595021669465,0.9431123867099479,0.623728234325521,4.286874485045217,0.14969477623812505,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.629595021669465,0.0,0.0,2.085524903864958,0.0,33.23321809279947,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
9,70.037,151.32,197.35023348238866,104.853,2.5295032837296487,80.0,55.0,0.0002548868716609,0.0002548868716609,0.03,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-100.1294,0.0,100.1294,153.45,0.0,0.0,3.8,3.8,0.0,0.0,2.5295032837296487,0.0,153.45,0.0,115.976,11.123000000000005,-0.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,1.0,-0.0,0.0,-11.123000000000005,11.123000000000005,0.0,87.14731022247557,1.0,0.0,0.0294,1.0,0.0018810651128574418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,1.0,1.0,0.0018810651128574418,0.0,0.0,0.0,2.5295032837296487,0.0018810651129461675,30.70371480906982,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
10,70.037,151.32,197.35023348238866,111.2905,2.549405857771298,80.0,55.0,0.3352177881136935,0.3352177881136935,0.078,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-98.17643999999999,0.0,98.17643999999999,153.45,0.0,0.0,3.8,3.8,0.0,0.0,2.549405857771298,0.0,153.45,0.0,115.976,4.685500000000005,-0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,-0.0,0.0,-4.685500000000005,4.685500000000005,0.0,91.83281022247557,1.0,0.0,0.07644,1.0,2.473907276279058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,1.0,1.0,2.473907276279058,0.0,0.0,0.0,2.549405857771298,2.475788341392004,28.15430895129852,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
