t,gas_price,power_price,heat_demand,local_heat_demand,solar_thermal_heat_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.max_volume_flow_compressor,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.max_volume_flow_compressor,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_balance,hydrogen_grid.hydrogen_supply,hydrogen_grid.hydrogen_feedin,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_balance,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.heat_grid_to_local,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,local_heat_storage.heat_balance,local_heat_storage.heat_charging,local_heat_storage.heat_discharging,local_heat_storage.excess_heat_discharging,local_heat_storage.heat_content,local_heat_storage.bin_charge,local_heat_storage.bin_discharge,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,96.554,1.3225777158149064,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.32800000000015,62.42400000000007,82.0,31.52400000000003,1.9,156.32800000000015,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.3214576757533,1.526542324246772,124.84800000000007,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,1.3225777158149064,312.6560000000002,0.0,164.0,66.12342228418518,0.0,1.3225777158149064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-66.12342228418518,66.12342228418518,0.0,66.12342228418518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526542324246772,3.8,4.036871239024391,1297.5609756097563,0.07987325301204819,4.634146341463415,0.019169580722891565,-4.036871239024391,4.036871239024391,0.0,0.0,4.036871239024391,1.0,1.0,-0.85,0.85,0.0,0.85,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
2,70.037,113.79,97.699,1.3748408683440645,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575322,1.526542324246772,124.848,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,1.3748408683440645,312.656,0.0,164.0,64.92615913165594,0.0,1.3748408683440645,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-64.92615913165594,64.92615913165594,0.0,131.04958141584112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526542324246772,3.8,4.036871239024391,1297.5609756097563,0.07987325301204819,4.634146341463415,0.019169580722891565,-4.036871239024391,4.036871239024391,0.0,0.0,8.073742478048782,1.0,1.0,0.0,0.0,0.0,0.85,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
3,70.037,113.79,95.31750000000001,1.3690296776543576,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575322,1.526542324246772,124.848,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,1.3690296776543576,312.656,0.0,164.0,67.31347032234564,0.0,1.3690296776543576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-67.31347032234564,67.31347032234564,0.0,198.36305173818675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526542324246772,3.8,4.036871239024391,1297.5609756097563,0.07987325301204819,4.634146341463415,0.019169580722891565,-4.036871239024391,4.036871239024391,0.0,0.0,12.110613717073173,1.0,1.0,0.85,0.0,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
4,70.037,111.79,95.744,1.4204523757312997,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575322,1.5265423242467713,124.848,0.0,0.0,0.0,0.0,3.8,3.8,0.0,1.4204523757312997,0.0,312.656,0.0,164.0,72.45199159369957,4.195991593699581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-72.45199159369957,72.45199159369957,0.0,270.81504333188633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467713,3.8,4.036871239024389,1297.5609756097556,0.07987325301204815,4.634146341463413,0.019169580722891554,1.5795727304064933,4.036871239024389,1.4204523757312997,4.195991593699581,10.53104098666668,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
5,70.037,111.78,94.039,1.4651911424090494,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,126.0812527159836,46.227678727262216,68.55097980576105,25.43823575141772,1.8008671730154369,126.0812527159836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.5042313693794,0.7234473578828153,46.227678727262216,0.0,0.0,0.0,0.0,1.8008671730154369,1.8008671730154369,0.0,1.4651911424090494,0.0,126.0812527159836,0.0,89.84300840630043,0.0,4.19599159369958,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.292028600539368,0.0,21.292028600539368,249.52301473134696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7234473578828153,1.8008671730154369,1.913123393697152,614.930254200393,0.03785292614509314,2.196179479287118,0.009084702274822354,3.7480593424114765,1.913123393697152,1.4651911424090494,4.19599159369958,6.782981644255203,1.0,1.0,-0.85,0.85,0.0,0.85,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
6,70.037,111.78,94.843,1.794257431193237,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794257431193237,0.0,0.0,0.0,90.64700840630042,0.0,4.195991593699581,0.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,90.64700840630042,0.0,90.64700840630042,158.87600632504655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.990249024892819,0.0,1.794257431193237,4.195991593699581,0.7927326193623841,1.0,1.0,0.85,0.0,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
7,70.037,111.78,94.607,2.0578563910896768,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-59.66072883787661,2.763271162123386,62.424,0.0,0.0,0.0,0.0,1.9,1.9,0.0,2.0578563910896768,0.0,156.328,0.0,94.607,0.0,0.0,0.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,12.607,0.0,12.607,146.26900632504655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632711621233859,1.9,2.018435619512195,648.780487804878,0.03993662650602409,2.317073170731707,0.00958479036144578,0.039420771577481806,2.018435619512195,2.0578563910896768,0.0,0.7533118477849023,1.0,1.0,-0.85,0.85,0.0,0.85,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
8,70.037,111.78,96.8815,2.085524903864958,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.66072883787661,0.7632711621233859,62.424,0.0,0.0,0.0,0.0,1.9,1.9,0.0,2.085524903864958,0.0,156.328,0.0,96.19527743656786,0.0,0.6862225634321394,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,14.195277436567864,0.0,14.195277436567864,132.07372888847868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632711621233859,1.9,2.018435619512195,648.780487804878,0.03993662650602409,2.317073170731707,0.00958479036144578,0.7533118477849023,2.018435619512195,2.085524903864958,0.6862225634321394,0.0,1.0,1.0,0.85,0.0,0.85,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
9,70.037,151.32,104.853,2.5295032837296487,0.00040390471645443426,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-127.51941767575323,1.5265423242467717,129.04596,0.0,0.0,0.0,0.0,3.8,3.8,0.0,2.5295032837296487,0.0,312.656,0.0,164.0,59.147000000000006,0.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,-59.147000000000006,59.147000000000006,0.0,191.2207288884787,1.0,0.0,0.19796,1.0,0.00040390471645443426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467717,3.8,4.03687123902439,1297.560975609756,0.07987325301204817,4.634146341463414,0.01916958072289156,-1.5077718600111958,4.037275143740844,2.5295032837296487,0.0,1.5077718600111958,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
10,70.037,151.32,111.2905,2.549405857771298,0.5312005470356951,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-125.81929767575323,1.5265423242467717,127.34584000000001,0.0,0.0,0.0,0.0,3.8,3.8,0.0,2.549405857771298,0.0,312.656,0.0,164.0,56.23593778829999,3.526437788299983,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,-56.23593778829999,56.23593778829999,0.0,247.4566666767787,1.0,0.0,0.49784,1.0,0.5312005470356951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467717,3.8,4.03687123902439,1297.560975609756,0.07987325301204817,4.634146341463414,0.01916958072289156,1.5077718600111958,4.568071786060085,2.549405857771298,3.526437788299983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
