t,gas_price,power_price,heat_demand,local_heat_demand,solar_thermal_heat_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.max_volume_flow_compressor,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.max_volume_flow_compressor,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_balance,hydrogen_grid.hydrogen_supply,hydrogen_grid.hydrogen_feedin,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_balance,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.heat_grid_to_local,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,local_heat_storage.heat_balance,local_heat_storage.heat_charging,local_heat_storage.heat_discharging,local_heat_storage.excess_heat_discharging,local_heat_storage.heat_content,local_heat_storage.bin_charge,local_heat_storage.bin_discharge,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,96.554,1.3225777158149064,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575322,1.5265423242467722,124.848,0.0,0.0,0.0,0.0,3.8,3.8,0.0,1.3225777158149064,0.0,312.656,0.0,164.0,70.16029352320949,2.7142935232094847,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-70.16029352320949,70.16029352320949,0.0,70.16029352320949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467722,3.8,4.036871239024391,1297.5609756097565,0.07987325301204819,4.634146341463415,0.019169580722891565,0.0,4.036871239024391,1.3225777158149064,2.7142935232094847,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
2,70.037,113.79,97.699,1.3748408683440645,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.32800000000006,62.42400000000003,82.0,31.52400000000001,1.9,156.32800000000006,0.0,-123.32145767575325,1.5265423242467722,124.84800000000003,0.0,0.0,0.0,0.0,3.8,3.8,0.0,1.3748408683440645,0.0,312.65600000000006,0.0,164.0,66.30100000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-66.30100000000002,66.30100000000002,0.0,136.46129352320952,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467722,3.8,4.036871239024391,1297.5609756097565,0.07987325301204819,4.634146341463415,0.019169580722891565,-2.6620303706803266,4.036871239024391,1.3748408683440645,0.0,2.6620303706803266,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
3,70.037,113.79,95.31750000000001,1.3690296776543576,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575322,1.5265423242467717,124.848,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,1.3690296776543576,312.656,0.0,164.0,67.31347032234564,0.0,1.3690296776543576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-67.31347032234564,67.31347032234564,0.0,203.77476384555516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467717,3.8,4.03687123902439,1297.560975609756,0.07987325301204817,4.634146341463414,0.01916958072289156,-4.036871239024391,4.03687123902439,0.0,0.0,6.698901609704718,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
4,70.037,111.79,95.744,1.4204523757312997,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575322,1.5265423242467717,124.848,0.0,0.0,0.0,0.0,3.8,3.8,0.0,1.4204523757312997,0.0,312.656,0.0,164.0,68.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-68.256,68.256,0.0,272.03076384555516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467717,3.8,4.03687123902439,1297.560975609756,0.07987325301204817,4.634146341463414,0.01916958072289156,-2.6164188632930916,4.03687123902439,1.4204523757312997,0.0,9.31532047299781,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
5,70.037,111.78,94.039,1.4651911424090494,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,128.1724355158323,47.34745098403876,69.48081068777037,25.858989937018848,1.807720963300519,128.1724355158323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.621250310116025,0.7262006739227336,47.34745098403876,0.0,0.0,0.0,0.0,1.807720963300519,1.807720963300519,0.0,1.4651911424090494,0.0,128.1724355158323,0.0,90.3652253384108,0.0,3.673774661589206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.884414650640423,0.0,20.884414650640423,251.14634919491473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7262006739227336,1.807720963300519,1.920404411823508,617.2705728343236,0.03799698786233837,2.204537760122584,0.00911927708696121,3.218561392174747,1.920404411823508,1.4651911424090494,3.673774661589206,6.0967590808230625,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
6,70.037,111.78,94.843,1.794257431193237,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794257431193237,0.0,0.0,0.0,90.64700840630042,0.0,4.195991593699581,0.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,90.64700840630042,0.0,90.64700840630042,160.49934078861432,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.990249024892819,0.0,1.794257431193237,4.195991593699581,0.10651005593024365,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
7,70.037,111.78,94.607,2.0578563910896768,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.66072883787661,2.763271162123386,62.424,0.0,0.0,0.0,0.0,1.9,1.9,0.0,2.0578563910896768,0.0,156.328,0.0,94.607,0.0,0.0,0.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,12.607,0.0,12.607,147.89234078861432,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632711621233859,1.9,2.018435619512195,648.780487804878,0.03993662650602409,2.317073170731707,0.00958479036144578,0.03942077157748125,2.018435619512195,2.0578563910896768,0.0,0.0670892843527624,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
8,70.037,111.78,96.8815,2.085524903864958,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.66072883787661,0.7632711621233859,62.424,0.0,0.0,0.0,0.0,1.9,1.9,0.0,2.085524903864958,0.0,156.328,0.0,96.8815,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,14.881500000000003,0.0,14.881500000000003,133.0108407886143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632711621233859,1.9,2.018435619512195,648.780487804878,0.03993662650602409,2.317073170731707,0.00958479036144578,0.0670892843527624,2.018435619512195,2.085524903864958,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
9,70.037,151.32,104.853,2.5295032837296487,0.00040390471645443426,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-127.86088109038738,1.1850789096126255,129.04596,0.0,0.0,0.0,0.0,3.8,3.8,0.0,2.5295032837296487,0.0,312.656,0.0,164.0,59.147000000000006,0.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,-59.147000000000006,59.147000000000006,0.0,192.15784078861432,1.0,0.0,0.19796,1.0,0.00040390471645443426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1850789096126255,2.95,3.133886882926829,1007.3170731707316,0.0620068674698795,3.5975609756097557,0.01488164819277108,-0.6047875039136352,3.1342907876432835,2.5295032837296487,0.0,0.6047875039136352,1.0,1.0,-0.85,0.85,0.0,0.85,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
10,70.037,151.32,111.2905,2.549405857771298,0.5312005470356951,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-126.16076109038738,1.1850789096126255,127.34584000000001,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,2.549405857771298,312.656,0.0,164.0,50.16009414222871,0.0,2.549405857771298,2.0,0.0,2.0,0.0,1.0,0.0,0.0,-50.16009414222871,50.16009414222871,0.0,242.31793493084302,1.0,0.0,0.49784,1.0,0.5312005470356951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1850789096126255,2.95,3.1338868829268294,1007.3170731707319,0.062006867469879504,3.597560975609756,0.014881648192771081,-3.665087429962525,3.6650874299625245,0.0,0.0,4.26987493387616,1.0,1.0,-0.85,0.85,0.0,1.7,1.0,1.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
