t   ,gas_price ,power_price ,heat_demand        ,local_heat_demand  ,heatpump_1.delta_T_min ,heatpump_1.R ,heatpump_1.k ,heatpump_1.electrical_efficiency ,heatpump_1.T_q ,heatpump_1.T_k ,heatpump_1.p1     ,heatpump_1.p2 ,heatpump_1.p3 ,heatpump_1.p4     ,heatpump_1.T1 ,heatpump_1.T2 ,heatpump_1.T3 ,heatpump_1.T4 ,heatpump_1.h1 ,heatpump_1.h2 ,heatpump_1.h3 ,heatpump_1.h4 ,heatpump_1.max_volume_flow_compressor ,heatpump_1.max_capacity_compressor ,heatpump_1.electrical_efficiency_compressor ,heatpump_1.n ,heatpump_1.z ,heatpump_2.delta_T_min ,heatpump_2.R ,heatpump_2.k ,heatpump_2.electrical_efficiency ,heatpump_2.T_q ,heatpump_2.T_k ,heatpump_2.p1     ,heatpump_2.p2 ,heatpump_2.p3 ,heatpump_2.p4     ,heatpump_2.T1 ,heatpump_2.T2 ,heatpump_2.T3 ,heatpump_2.T4 ,heatpump_2.h1 ,heatpump_2.h2 ,heatpump_2.h3 ,heatpump_2.h4 ,heatpump_2.max_volume_flow_compressor ,heatpump_2.max_capacity_compressor ,heatpump_2.electrical_efficiency_compressor ,heatpump_2.n ,heatpump_2.z ,chp_1.bin ,chp_1.gas          ,chp_1.power        ,chp_1.heat ,chp_1.co2          ,chp_1.waste_heat ,chp_1.natural_gas  ,chp_1.hydrogen ,chp_2.bin ,chp_2.gas          ,chp_2.power        ,chp_2.heat        ,chp_2.co2         ,chp_2.waste_heat   ,chp_2.natural_gas  ,chp_2.hydrogen ,electrical_grid.power_balance ,electrical_grid.power_supply ,electrical_grid.power_feedin ,hydrogen_grid.hydrogen_balance ,hydrogen_grid.hydrogen_supply ,hydrogen_grid.hydrogen_feedin ,waste_heat_grid.heat_balance ,waste_heat_grid.heat_supply ,waste_heat_grid.heat_feedin ,local_heat_grid.heat_balance ,local_heat_grid.heat_supply ,local_heat_grid.heat_feedin ,ngas_grid.ngas_balance ,heat_grid.heat_balance ,heat_grid.heat_feedin ,heat_grid.heat_supply ,battery_storage.power_balance ,battery_storage.power_charging ,battery_storage.power_discharging ,battery_storage.power_content ,battery_storage.bin_discharge ,battery_storage.bin_charge ,battery_storage.bin_switch ,heat_storage.heat_balance ,heat_storage.heat_charging ,heat_storage.heat_discharging ,heat_storage.heat_content ,heat_storage.bin_charge ,heat_storage.bin_discharge ,pv.power             ,solar_thermal.heat ,solar_thermal.bin ,heatpump_1.heat ,heatpump_1.heat_input ,heatpump_1.power ,heatpump_1.volume_flow ,heatpump_1.massflow_refigerant ,heatpump_1.capacity_compressor ,heatpump_1.swept_volume ,heatpump_2.heat    ,heatpump_2.heat_input ,heatpump_2.power   ,heatpump_2.volume_flow ,heatpump_2.massflow_refigerant ,heatpump_2.capacity_compressor ,heatpump_2.swept_volume ,local_heat_storage.heat_balance ,local_heat_storage.heat_charging ,local_heat_storage.heat_discharging ,local_heat_storage.heat_content ,local_heat_storage.bin_charge ,local_heat_storage.bin_discharge ,heatpump_1.ideal_cop ,heatpump_1.d       ,heatpump_1.real_cop ,heatpump_2.ideal_cop ,heatpump_2.d       ,heatpump_2.real_cop
  1 ,   70.037 ,     114.12 , 96.554            ,1.3225777158149064 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.32800000000003 ,62.424000000000014 ,      82.0 ,31.524000000000008 ,             1.9 ,156.32800000000003 ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-124.84800000000001           ,                         0.0 ,         124.84800000000001  ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,1.3225777158149064           ,                        0.0 ,        0.0                 ,    312.65600000000006 ,                   0.0 ,   164.0              ,   67.446             ,0.0                           ,                           0.0 ,                              0.0 ,                          0.0 ,                          1.0 ,                       0.0 ,                       0.0 ,-67.446                   ,        67.446             ,            0.0               ,      67.446              ,                    1.0 ,                       0.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.03687123902439   ,   3.8                ,1.621951219512195  ,  0.07987325301204817  ,            4.634146341463414  ,            1297.560975609756  ,   0.01916958072289156  ,-4.03687123902439               ,           4.03687123902439      ,                0.0                 ,             4.03687123902439   ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  2 ,   70.037 ,     113.79 , 97.699            ,1.3748408683440645 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-124.848                      ,                         0.0 ,         124.848             ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,1.3748408683440645           ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   66.301             ,0.0                           ,                           0.0 ,                              0.0 ,                          0.0 ,                          1.0 ,                       0.0 ,                       0.0 ,-66.301                   ,        66.301             ,            0.0               ,     133.747              ,                    1.0 ,                       0.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024388  ,   3.8                ,1.6219512195121946 ,  0.07987325301204813  ,            4.6341463414634125 ,            1297.5609756097556 ,   0.01916958072289155  ,-4.036871239024388              ,           4.036871239024388     ,                0.0                 ,             8.073742478048779  ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  3 ,   70.037 ,     113.79 , 95.31750000000001 ,1.3690296776543576 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-124.848                      ,                         0.0 ,         124.848             ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,1.3690296776543576           ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   68.68249999999999  ,0.0                           ,                           0.0 ,                              0.0 ,                          0.0 ,                          1.0 ,                       0.0 ,                       0.0 ,-68.68249999999999        ,        68.68249999999999  ,            0.0               ,     202.42950000000002   ,                    1.0 ,                       0.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024391  ,   3.8                ,1.6219512195121957 ,  0.07987325301204819  ,            4.634146341463415  ,            1297.5609756097565 ,   0.019169580722891565 ,-4.036871239024391              ,           4.036871239024391     ,                0.0                 ,            12.11061371707317   ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  4 ,   70.037 ,     111.79 , 95.744            ,1.4204523757312997 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-124.848                      ,                         0.0 ,         124.848             ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,1.4204523757312997           ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   68.256             ,0.0                           ,                           0.0 ,                              0.0 ,                          0.0 ,                          1.0 ,                       0.0 ,                       0.0 ,-68.256                   ,        68.256             ,            0.0               ,     270.68550000000005   ,                    1.0 ,                       0.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024391  ,   3.8                ,1.6219512195121957 ,  0.07987325301204819  ,            4.634146341463415  ,            1297.5609756097565 ,   0.019169580722891565 ,-4.036871239024391              ,           4.036871239024391     ,                0.0                 ,            16.14748495609756   ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  5 ,   70.037 ,     111.78 , 94.039            ,1.4651911424090494 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      0.0 ,  0.0              , 0.0               ,       0.0 , 0.0               ,             0.0 ,  0.0              ,           0.0 ,      0.0 ,  0.0              , 0.0               , 0.0              , 0.0              ,0.0                ,  0.0              ,           0.0 ,0.0                           ,                         0.0 ,           0.0               ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         0.0                ,         0.0                ,1.4651911424090494           ,                        0.0 ,        0.0                 ,      0.0              ,                   0.0 ,    94.039            ,    0.0               ,0.0                           ,                           0.0 ,                              0.0 ,                          0.0 ,                          1.0 ,                       0.0 ,                       0.0 ,94.039                    ,         0.0               ,           94.039             ,     176.64650000000006   ,                    0.0 ,                       1.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,0.0                ,   0.0                ,0.0                ,  0.0                  ,            0.0                ,               0.0             ,   0.0                  ,0.0                             ,           0.0                   ,                0.0                 ,            16.14748495609756   ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  6 ,   70.037 ,     111.78 , 94.843            ,1.794257431193237  ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      0.0 ,  0.0              , 0.0               ,       0.0 , 0.0               ,             0.0 ,  0.0              ,           0.0 ,      1.0 , 68.4699784520807  ,15.378387788693638 ,42.93449999999655 ,13.84662128992473 ,1.6120479115478863 , 68.4699784520807  ,           0.0 ,-11.378387788693638           ,                         4.0 ,          15.378387788693638 ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         1.6120479115478867 ,         1.6120479115478867 ,1.794257431193237            ,                        0.0 ,        0.0                 ,     68.4699784520807  ,                   0.0 ,    94.843            ,    0.0               ,-4.0                          ,                           4.0 ,                              0.0 ,                          4.0 ,                          0.0 ,                       1.0 ,                       1.0 ,51.90850000000346         ,         0.0               ,           51.90850000000346  ,     124.7379999999966    ,                    0.0 ,                       1.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,1.712534171067631  ,   1.6120479115478867 ,0.688069230538732  ,  0.03388408176489689  ,            1.9659120872535203 ,             550.4553844309856 ,   0.008132179623575254 ,-1.712534171067631              ,           1.712534171067631     ,                0.0                 ,            17.86001912716519   ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  7 ,   70.037 ,     111.78 , 94.607            ,2.0578563910896768 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      0.0 ,  0.0              , 0.0               ,       0.0 , 0.0               ,             0.0 ,  0.0              ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-60.424                       ,                         2.0 ,          62.424             ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         1.9                ,         1.9                ,2.0578563910896768           ,                        0.0 ,        0.0                 ,    156.328            ,                   0.0 ,    94.607            ,    0.0               ,-2.0                          ,                           2.0 ,                              0.0 ,                          6.0 ,                          0.0 ,                       1.0 ,                       0.0 ,12.607                    ,         0.0               ,           12.607             ,     112.1309999999966    ,                    0.0 ,                       1.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,2.0184356195121964 ,   1.9                ,0.8109756097560981 ,  0.039936626506024114 ,            2.317073170731709  ,             648.7804878048785 ,   0.009584790361445788 ,-2.0184356195121964             ,           2.0184356195121964    ,                0.0                 ,            19.878454746677388  ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  8 ,   70.037 ,     111.78 , 96.8815           ,2.085524903864958  ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-124.848                      ,                         0.0 ,         124.848             ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,2.085524903864958            ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   67.1185            ,0.0                           ,                           0.0 ,                              0.0 ,                          6.0 ,                          1.0 ,                       0.0 ,                       1.0 ,-67.1185                  ,        67.1185            ,            0.0               ,     179.2494999999966    ,                    1.0 ,                       0.0 ,0.0                  ,0.0                ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024389  ,   3.8                ,1.6219512195121948 ,  0.07987325301204816  ,            4.634146341463413  ,            1297.5609756097558 ,   0.019169580722891558 ,-4.036871239024389              ,           4.036871239024389     ,                0.0                 ,            23.915325985701777  ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
  9 ,   70.037 ,     151.32 ,104.853            ,2.5295032837296487 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-129.04596                    ,                         0.0 ,         129.04596           ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,2.529503283729648            ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   59.147000000000006 ,4.0                           ,                           0.0 ,                              4.0 ,                          2.0 ,                          1.0 ,                       0.0 ,                       0.0 ,-59.147000000000006       ,        59.147000000000006 ,            0.0               ,     238.3964999999966    ,                    1.0 ,                       0.0 ,0.19796              ,0.0004039047164544 ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024393  ,   3.8                ,1.6219512195121961 ,  0.07987325301204823  ,            4.634146341463418  ,            1297.560975609757  ,   0.019169580722891575 ,-4.037275143740846              ,           4.037275143740847     ,                0.0                 ,            27.952601129442623  ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
 10 ,   70.037 ,     151.32 ,111.2905           ,2.549405857771298  ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-127.34584000000001           ,                         0.0 ,         127.34584000000001  ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,2.549405857771298            ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   52.709500000000006 ,2.0                           ,                           0.0 ,                              2.0 ,                          0.0 ,                          1.0 ,                       0.0 ,                       0.0 ,-52.709500000000006       ,        52.709500000000006 ,            0.0               ,     291.1059999999966    ,                    1.0 ,                       0.0 ,0.49784              ,0.5312005470356951 ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024396  ,   3.8                ,1.6219512195121977 ,  0.0798732530120483   ,            4.634146341463421  ,            1297.560975609758  ,   0.019169580722891592 ,-4.5680717860600915             ,           4.5680717860600915    ,                0.0                 ,            32.520672915502715  ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
 11 ,   70.037 ,     148.86 , 92.264            ,2.50901451296318   ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-121.09888000000001           ,                         4.0 ,         125.09888000000001  ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,2.50901451296318             ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   71.736             ,-4.0                          ,                           4.0 ,                              0.0 ,                          4.0 ,                          0.0 ,                       1.0 ,                       1.0 ,-71.736                   ,        71.736             ,            0.0               ,     362.8419999999966    ,                    1.0 ,                       0.0 ,0.25088              ,1.4633242187967257 ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024386  ,   3.8                ,1.6219512195121935 ,  0.07987325301204808  ,            4.634146341463409  ,            1297.5609756097547 ,   0.019169580722891537 ,-5.500195457821111              ,           5.500195457821111     ,                0.0                 ,            38.02086837332383   ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
 12 ,   70.037 ,     148.86 , 81.636            ,2.3149697623022414 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,                    10 ,         488 ,        1.31 ,                             0.8 ,        303.15 ,        353.15 ,8300000.000000001 ,     52000000 ,     52000000 ,8300000.000000001 ,       293.15 ,       443.15 ,       363.15 ,       293.15 ,         1480 ,         1760 ,          660 ,          660 ,                  0.15666666666666668 ,                               313 ,                                        0.8 ,        25.0 ,           6 ,      1.0 ,156.328            ,62.424             ,      82.0 ,31.524             ,             1.9 ,156.328            ,           0.0 ,      1.0 ,156.328            ,62.424             ,82.0              ,31.524            ,1.9                ,156.328            ,           0.0 ,-122.848                      ,                         2.0 ,         124.848             ,                           0.0 ,                          0.0 ,                          0.0 ,                         0.0 ,         3.8                ,         3.8                ,2.3149697623022414           ,                        0.0 ,        0.0                 ,    312.656            ,                   0.0 ,   164.0              ,   82.364             ,-2.0                          ,                           2.0 ,                              0.0 ,                          6.0 ,                          0.0 ,                       1.0 ,                       0.0 ,-82.364                   ,        82.364             ,            0.0               ,     445.2059999999966    ,                    1.0 ,                       0.0 ,0.0                  ,1.0225034241021904 ,                0 ,            0.0 ,                  0.0 ,             0.0 ,                   0.0 ,                           0.0 ,                           0.0 ,                    0.0 ,4.036871239024414  ,   3.8                ,1.6219512195122048 ,  0.07987325301204865  ,            4.634146341463442  ,            1297.5609756097638 ,   0.019169580722891676 ,-5.059374663126604              ,           5.059374663126604     ,                0.0                 ,            43.08024303645043   ,                          1.0 ,                             1.0 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715 ,   5.187857142857142 ,0.5996931846344487 , 3.1111225714285715
