,power_price,gas_price,bhkw_bin,storage_charge_bin,storage_discharge_bin,net_feeding_bin,net_supplying_bin,bhkw_gas,bhkw_power,bhkw_heat,net_power,storage_power,storage_energy,bhkw_con_1_power,bhkw_con_2_power,storage_con_3_power,net_con_4_power
1,21.0,16.0,1.0,1.0,0.0,1.0,0.0,2.5,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
2,20.0,16.0,1.0,1.0,0.0,1.0,0.0,2.5,1.0,1.0,0.0,-1.0,2.0,1.0,0.0,0.0,0.0
3,22.0,16.0,1.0,1.0,0.0,1.0,0.0,2.5,1.0,1.0,0.0,-0.9999999999999996,2.9999999999999996,1.0,0.0,0.0,0.0
4,20.0,16.0,1.0,1.0,0.0,0.0,1.0,2.5,1.0,1.0,0.0,-1.0000000000000004,4.0,0.9999999999999999,1.1102230246251565e-16,0.0,1.1102230246251565e-16
5,41.0,16.0,1.0,0.0,1.0,1.0,0.0,4.8,2.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0
6,60.0,16.0,1.0,0.0,1.0,1.0,0.0,4.8,2.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0
7,50.0,18.0,1.0,0.0,1.0,1.0,0.0,4.8,2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0
8,35.0,18.0,1.0,1.0,0.0,1.0,0.0,2.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9,40.0,18.0,1.0,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
10,14.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,1.0
11,-12.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-0.9999999999999998,1.9999999999999996,0.0,0.0,0.0,1.0
12,10.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0000000000000004,3.0,0.0,0.0,0.0,1.0
13,25.0,18.0,1.0,1.0,0.0,0.0,1.0,2.5,1.0,1.0,0.0,-1.0,4.0,0.9999999999999999,1.1102230246251565e-16,0.0,1.1102230246251565e-16
14,25.0,18.0,1.0,1.0,0.0,0.0,1.0,2.5,1.0,1.0,0.0,-1.0,5.0,1.0,0.0,0.0,0.0
15,30.0,18.0,1.0,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0
16,40.0,18.0,1.0,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0
17,50.0,18.0,1.0,0.0,1.0,1.0,0.0,4.8,2.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0
18,61.0,18.0,1.0,0.0,1.0,1.0,0.0,4.8,2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0
19,50.0,18.0,1.0,0.0,1.0,1.0,0.0,4.8,2.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0
20,30.0,18.0,1.0,1.0,0.0,1.0,0.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,20.0,18.0,1.0,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
22,15.0,18.0,1.0,1.0,0.0,1.0,0.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.551115123125783e-17,0.0
23,10.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0
24,15.0,18.0,1.0,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
