t,gas_price,power_price,chp.bin,chp.gas,chp.power,chp.heat,electrical_grid.overall_power,electrical_grid.supply_power,electrical_grid.feedin_power,battery_storage.power_balance,battery_storage.charging_power,battery_storage.discharging_power,battery_storage.energy_content,battery_storage.discharge_bin,battery_storage.charge_bin,battery_storage.switch_bin,pv.power,electrolyzer.bin,electrolyzer.hydrogen,electrolyzer.power,electrolyzer.water,electrolyzer.heat,hydrogen_grid.overall_hydrogen,hydrogen_grid.supply_hydrogen,hydrogen_grid.feedin_hydrogen,hydrogen_storage.hydrogen_balance,hydrogen_storage.charging_hydrogen,hydrogen_storage.discharging_hydrogen,hydrogen_storage.hydrogen_content,hydrogen_storage.charge_bin,hydrogen_storage.discharge_bin,arc1_expanded.power,arc2_expanded.power,arc3_expanded.power,arc4_expanded.power,arc5_expanded.power,arc6_expanded.hydrogen,arc8_expanded.hydrogen
1,57.428,106.85,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
2,57.428,105.25,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,600.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
3,57.428,105.25,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,900.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
4,57.428,103.92,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,601.2025211293806,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
5,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,302.4050422587611,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
6,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,602.4050422587611,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
7,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,303.60756338814167,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
8,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,603.6075633881417,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
9,57.428,127.0,0.0,0.0,0.0,0.0,99.80204,100.0,0.19796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19796,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,304.8100845175222,0.0,1.0,0.0,0.19796,0.0,0.0,100.0,51.20252112938056,298.79747887061944
10,57.428,127.0,0.0,0.0,0.0,0.0,99.50216,100.0,0.49784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.49784,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,604.8100845175222,1.0,0.0,0.0,0.49784,0.0,0.0,100.0,51.20252112938056,0.0
11,57.428,123.44,0.0,0.0,0.0,0.0,99.74912,100.0,0.25088,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25088,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-94.15445301494947,0.0,94.15445301494947,42.95193188556891,0.0,42.95193188556891,561.8581526319533,0.0,1.0,0.0,0.25088,0.0,0.0,100.0,51.20252112938056,42.95193188556891
12,57.428,123.43,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,861.8581526319533,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
13,57.428,123.43,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,563.0606737613339,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
14,57.428,123.43,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,863.0606737613339,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
15,57.428,127.01,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,564.2631948907144,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
16,57.428,146.28,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,864.2631948907144,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
17,57.428,175.38,1.0,258.3333333333333,100.0,133.33333333333331,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,565.465716020095,0.0,1.0,100.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
18,57.428,175.38,1.0,258.3333333333333,100.0,133.33333333333331,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,865.465716020095,1.0,0.0,100.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
19,57.428,175.38,1.0,258.3333333333333,100.0,133.33333333333331,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,566.6682371494755,0.0,1.0,100.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
20,57.428,175.38,1.0,258.3333333333333,100.0,133.33333333333331,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,866.6682371494755,1.0,0.0,100.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
21,57.428,136.14,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,567.8707582788561,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
22,57.428,134.29,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,867.8707582788561,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
23,57.428,115.74,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-51.20252112938056,0.0,51.20252112938056,0.0,0.0,0.0,867.8707582788561,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
24,57.428,109.15,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,1167.870758278856,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
25,57.428,135.79,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,869.0732794082367,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
26,57.428,128.08,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,1169.0732794082367,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
