t,gas_price,power_price,chp.bin,chp.gas,chp.power,chp.heat,electrical_grid.overall_power,electrical_grid.supply_power,electrical_grid.feedin_power,battery_storage.power_balance,battery_storage.charging_power,battery_storage.discharging_power,battery_storage.energy_content,battery_storage.discharge_bin,battery_storage.charge_bin,battery_storage.switch_bin,pv.power,electrolyzer.bin,electrolyzer.hydrogen,electrolyzer.power,electrolyzer.water,electrolyzer.heat,hydrogen_grid.overall_hydrogen,hydrogen_grid.supply_hydrogen,hydrogen_grid.feedin_hydrogen,arc1_expanded.power,arc2_expanded.power,arc3_expanded.power,arc4_expanded.power,arc5_expanded.power
1,57.428,106.85,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,69.85,0.0,1.0,0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
2,57.428,105.25,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,139.7,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
3,57.428,105.25,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,209.54999999999998,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
4,57.428,103.92,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,279.4,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
5,57.428,100.7,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,349.25,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
6,57.428,100.7,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,419.1,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
7,57.428,100.7,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,488.95000000000005,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
8,57.428,100.7,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,558.8000000000001,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
9,57.428,127.0,-0.0,0.0,0.0,0.0,199.80204,200.0,0.19796,-69.85,69.85,0.0,628.6500000000001,0.0,1.0,-0.0,0.19796,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.19796,0.0,69.85,130.15
10,57.428,127.0,-0.0,0.0,0.0,0.0,199.50216,200.0,0.49784,-69.85,69.85,0.0,698.5000000000001,0.0,1.0,-0.0,0.49784,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.49784,0.0,69.85,130.15
11,57.428,123.44,-0.0,0.0,0.0,0.0,199.74912,200.0,0.25088,-69.85,69.85,0.0,768.3500000000001,0.0,1.0,-0.0,0.25088,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.25088,0.0,69.85,130.15
12,57.428,123.43,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,838.2000000000002,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
13,57.428,123.43,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,908.0500000000002,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
14,57.428,123.43,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,977.9000000000002,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
15,57.428,127.01,-0.0,0.0,0.0,0.0,152.2499999999998,152.2499999999998,0.0,-22.099999999999795,22.099999999999795,0.0,1000.0,0.0,1.0,0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,22.099999999999795,130.15
16,57.428,146.28,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,920.0,1.0,-0.0,1.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
17,57.428,175.38,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,840.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
18,57.428,175.38,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,760.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
19,57.428,175.38,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,680.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
20,57.428,175.38,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,600.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
21,57.428,136.14,-0.0,0.0,0.0,0.0,30.150000000000006,130.15,100.0,100.0,0.0,100.0,500.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,100.0,0.0,130.15
22,57.428,134.29,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,569.85,0.0,1.0,1.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
23,57.428,115.74,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,639.7,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
24,57.428,109.15,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,709.5500000000001,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
25,57.428,135.79,-0.0,0.0,0.0,0.0,71.34999999999982,130.15,58.80000000000018,58.80000000000018,0.0,58.80000000000018,650.7499999999999,1.0,-0.0,1.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,58.80000000000018,0.0,130.15
26,57.428,128.08,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,720.5999999999999,0.0,1.0,1.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
27,57.428,126.71,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,790.4499999999999,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
28,57.428,126.71,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,860.3,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
29,57.428,126.71,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,930.15,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
30,57.428,126.75,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,1000.0,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
31,57.428,146.84,1.0,300.0,120.0,160.0,10.150000000000006,130.15,120.0,0.0,0.0,0.0,1000.0,1.0,-0.0,1.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,0.0,0.0,130.15
32,57.428,163.93,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,920.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
33,57.428,207.05,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,840.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
34,57.428,207.05,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,79.86377999999999,0.0,79.86377999999999,760.13622,1.0,-0.0,-0.0,0.13622,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.13622,79.86377999999999,0.0,130.15
35,57.428,171.27,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,680.13622,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
36,57.428,153.24,1.0,300.0,120.0,160.0,10.150000000000006,130.15,120.0,0.0,0.0,0.0,680.13622,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,0.0,0.0,130.15
37,57.428,153.24,1.0,300.0,120.0,160.0,-30.002879999999976,130.15,160.15287999999998,40.15287999999998,0.0,40.15287999999998,639.98334,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,40.15287999999998,0.0,130.15
38,57.428,153.24,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,559.98334,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
39,57.428,168.86,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,79.98334,0.0,79.98334,480.0,1.0,-0.0,-0.0,0.01666,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.01666,79.98334,0.0,130.15
40,57.428,200.77,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,400.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
41,57.428,207.05,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,320.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
42,57.428,207.05,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,240.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
43,57.428,207.05,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,160.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
44,57.428,207.05,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,80.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
45,57.428,164.09,1.0,300.0,120.0,160.0,-69.85,130.15,200.0,80.0,0.0,80.0,0.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,80.0,0.0,130.15
46,57.428,152.94,1.0,300.0,120.0,160.0,10.150000000000006,130.15,120.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,0.0,0.0,130.15
47,57.428,147.24,1.0,300.0,120.0,160.0,10.150000000000006,130.15,120.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,120.0,0.0,0.0,0.0,130.15
48,57.428,138.1,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,69.85,0.0,1.0,1.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
49,57.428,135.79,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,139.7,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
50,57.428,123.66,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,209.54999999999998,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
51,57.428,116.9,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-69.85,69.85,0.0,279.4,0.0,1.0,-0.0,0.0,1.0,66.64,130.15,20000.0,47.761,-66.64,0.0,66.64,0.0,0.0,0.0,69.85,130.15
