t,gas_price,power_price,chp.bin,chp.gas,chp.power,chp.heat,chp.natural_gas,chp.hydrogen,electrical_grid.overall_power,electrical_grid.supply_power,electrical_grid.feedin_power,battery_storage.power_balance,battery_storage.charging_power,battery_storage.discharging_power,battery_storage.energy_content,battery_storage.discharge_bin,battery_storage.charge_bin,battery_storage.switch_bin,pv.power,electrolyzer.bin,electrolyzer.hydrogen,electrolyzer.power,electrolyzer.water,electrolyzer.heat,hydrogen_grid.overall_hydrogen,hydrogen_grid.supply_hydrogen,hydrogen_grid.feedin_hydrogen,ngas_grid.overall_ngas,heatpump.bin,heatpump.power,heatpump.heat_output,heatpump.heat_input,heatgrid.overall_heat,heatgrid.supply_heat,heatgrid.feedin_heat,arc01_expanded.power,arc02_expanded.power,arc03_expanded.power,arc04_expanded.power,arc05_expanded.power,arc12_expanded.heat,arc13_expanded.heat,arc14_expanded.power
1,70.037,114.12,-0.0,0.0,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
2,70.037,113.79,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,200.0,0.0,1.0,-0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
3,70.037,113.79,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,300.0,0.0,1.0,-0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
4,70.037,111.79,-0.0,0.0,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,400.0,0.0,1.0,-0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
5,70.037,111.78,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,500.0,0.0,1.0,-0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
6,70.037,111.78,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,600.0,0.0,1.0,-0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
7,70.037,111.78,-0.0,0.0,-0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,700.0,0.0,1.0,-0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
8,70.037,111.78,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,-100.0,100.0,0.0,800.0,0.0,1.0,-0.0,0.0,1.0,37.45702567804232,73.15450979197236,11241.604345150756,26.84549020802764,-37.45702567804232,0.0,37.45702567804232,0.0,1.0,26.84549020802764,80.53647062408292,26.84549020802764,-80.53647062408292,0.0,80.53647062408292,0.0,0.0,0.0,100.0,73.15450979197236,80.53647062408292,0.0,26.84549020802764
9,70.037,151.32,-0.0,0.0,-0.0,0.0,0.0,0.0,-100.19796,0.0,100.19796,100.0,0.0,100.0,700.0,1.0,-0.0,1.0,0.19796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19796,100.0,0.0,0.0,0.0,0.0,0.0
10,70.037,151.32,0.0,0.0,0.0,0.0,0.0,0.0,-100.49784,0.0,100.49784,100.0,0.0,100.0,600.0,1.0,-0.0,-0.0,0.49784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49784,100.0,0.0,0.0,0.0,0.0,0.0
